,,,,,Label,S4.1 L,S4.2 L,S4.3 L,S4.4 L,S4.5 L,S4.6 L,SR.1 L,SR.2 L,SR.3 L,SR.4 L,SR.5 L,SR.6 L,S30.1 L,S30.2 L,S30.3 L,S30.4 L,S30.5 L,S30.6 L,PR.1 L,PR.2 L,PR.3 L,PR.4 L,PR.5 L,PR.6 L,P4..1 L,P4.2 L,P4.3 L,P4..4 L,P4..5 L,P4.6 L,P30.1 L,P30.2 L,P30.3 L,P30.4 L,P30.5 L,P30.6 L,TR.1 L,TR.2 L,TR.3 L,TR.4 L,TR.5 L,TR.6 L,T4.1 L,T4.2 L,T4.3 L,T4..4 L,T4..5 L,T4.6 L,T30.1 L,T30.2 L,T30.3 L,T30.4 L,T30.5 L,T30.6 L,Biorec001,Biorec002,Biorec003,Biorec004,Biorec005,Biorec006,Biorec007,PoolQC001,PoolQC002,PoolQC003,PoolQC004,PoolQC005,PoolQC006,PoolQC007
11.21_673.59_11.20_668.63,CE 18:1 ,[M+Na]+_[M+NH4]+,RJECHNNFRHZQKU-RMUVNZEASA-N,673.5907_668.634,11.205,233,856,540,839,2409,4723,1506,1872,2618,366,3715,1825,1251,1109,834,155,973,6729,641,3855,1805,1899,608,3987,1040,1048,268,2049,642,2069,366,1176,939,923,1283,954,476,890,572,356,448,976,710,497,292,463,378,491,1349,926,1343,1096,801,799,53766,40034,76090,56877,53715,55277,53258,1208,1212,975,1023,1005,989,955
10.75_666.62,CE 18:2 ,[M+NH4]+,NAACPBBQTFFYQB-LJAITQKLSA-N,666.6202,10.747,128,372,803,321,959,1487,888,1218,1885,193,2127,538,1779,566,867,49,677,1270,118,825,452,875,168,2506,252,287,33,798,159,337,77,467,469,198,631,927,390,600,406,75,354,541,442,274,173,292,209,168,442,320,690,865,277,258,375318,375915,321256,365218,366914,357268,342971,402,281,400,446,377,403,473
10.34_664.60,CE 18:3 ,[M+NH4]+,FYMCIBHUFSIWCE-WVXFKAQASA-N,664.6028,10.338,170,596,530,507,1667,3677,770,839,1489,376,1892,641,1274,590,411,161,541,1106,335,1026,614,1103,153,2986,467,377,26,1100,337,844,206,522,263,400,573,426,176,318,201,221,91,251,211,175,35,82,25,153,340,412,363,442,175,242,5130,4853,4082,4764,4985,4726,4717,604,592,615,615,602,479,550
10.82_692.64,CE 20:3 ,[M+NH4]+,MLPRJPSMAFZPLA-PJSAOELNSA-N,692.6359,10.823,2,299,288,290,1219,2073,513,401,1363,330,1199,644,582,613,290,40,519,1448,287,687,399,837,112,1740,436,344,31,362,253,758,166,431,168,302,336,228,120,146,106,144,74,184,154,218,49,39,69,28,351,283,338,419,142,282,4980,5335,5891,5376,4762,4758,5344,451,413,454,411,369,408,338
10.49_690.62,CE 20:4 ,[M+NH4]+,IMXSFYNMSOULQS-BEDFLICRSA-N,690.6187,10.486,78,477,534,481,1880,3746,385,2566,2757,112,2723,1360,2219,998,523,137,611,3779,115,1439,660,1389,158,2769,476,680,50,2448,349,1626,241,859,646,524,1130,525,316,717,582,319,551,862,726,675,250,389,332,180,561,356,700,756,399,495,88363,81382,63453,87247,84389,85623,86705,618,732,745,701,612,687,647
10.07_693.56_10.07_688.60,CE 20:5 ,[M+Na]+_[M+NH4]+,XZFUGMCJZFRBKF-JIKDAPOUSA-N,693.5577_688.6044,10.0695,437,2327,1826,2088,7773,10779,3929,8692,9970,1088,12871,4809,4657,3204,2035,435,2252,14215,1064,5579,3871,5394,1317,9247,2454,2418,437,14199,944,5139,847,2801,2141,1960,2761,2635,1898,3204,2315,1457,2154,3640,2867,2202,999,1751,1739,1553,1715,2237,3167,2086,1769,1762,3681,3861,4512,4124,4295,4121,4240,2937,2852,2665,2864,2980,2702,2358
10.24_719.57_10.24_714.62,CE 22:6 ,[M+Na]+_[M+NH4]+,VOEVEGPMRIYYKC-HNJOWPRISA-N,719.5746_714.6186,10.2375,2647,7326,7921,6881,11783,21800,16229,19890,20039,5188,24278,14747,14183,11962,11496,2428,13188,33292,4518,8474,12457,12885,10479,28254,8965,7343,2770,30966,5251,13339,4453,8771,7134,6987,11148,11315,5621,10799,8202,4485,7406,11672,9691,6216,6421,6816,7042,7555,5871,6195,12690,7821,7479,6367,6290,6453,7482,6760,7054,6621,6915,8956,9718,9286,9026,8587,9192,8763
6.12_576.54,Cer 37:3;2O|Cer 19:3;2O/18:0,[M+H]+,JMAMJHVAFHHKCP-MZTCKNHJNA-N,576.5369,6.121,1308,1913,3387,2670,1462,3148,3791,6006,2629,1211,3353,1063,1898,2091,1958,596,1154,2515,3402,8342,8138,7777,8436,8689,6396,7279,5693,6252,4210,4680,974,1930,1610,1439,2000,2905,1522,2353,1570,695,1621,1703,2064,964,1298,1920,1197,1032,847,1098,1182,1156,831,657,171,202,96,54,4,63,99,3017,2631,2743,2714,2434,2522,2938
5.90_538.52_5.90_520.51_5.90_560.50,Cer d34:1 ,[M+H]+ _[M+H-H2O]+ _[M+Na]+ ,,538.5201_520.51_560.5022,5.9,41642,101831,100922,98096,113951,117605,111706,155267,112175,68152,152982,113559,48307,109409,73527,24563,64199,113824,96474,238429,157073,116044,98012,105360,103859,178457,80379,142446,83328,102647,39593,76572,40807,45227,50160,83701,49710,71717,54084,37431,48282,56518,49291,50103,44551,50886,40260,42530,34091,50570,82817,49419,39875,32028,12329,11818,12049,12030,11908,12461,12064,81243,77867,77918,74553,77221,78444,80279
6.63_566.55_6.63_548.54_6.63_588.53,Cer d36:1 ,[M+H]+ _[M+H-H2O]+ _[M+Na]+ ,,566.5522_548.542_588.5346,6.629,11132,21587,17287,20311,17849,31395,19085,28184,21238,13032,34153,21504,14880,23597,17114,7096,14452,31339,43209,109362,72656,73916,43037,49875,68586,64726,45944,69638,55531,56881,18344,38991,24503,21682,30782,40100,14640,18281,16885,10939,18709,17129,15365,10377,11980,17404,12344,17067,9080,10396,17381,13317,15012,7847,5195,4753,5133,4743,5025,4752,4381,28469,27979,26826,26423,27568,27192,28625
7.35_594.58_7.34_576.57_7.35_616.56,Cer d38:1 ,[M+H]+ _[M+H-H2O]+ _[M+Na]+ ,,594.5826_576.5722_616.5642,7.346,39401,62071,69869,54265,43588,106516,84055,94500,83905,47689,156851,59019,61344,74516,58438,19788,53221,85257,73413,161944,119900,167532,67644,142224,116711,113358,62637,148503,79304,92232,46351,95513,58279,48268,70413,108483,28935,35569,30595,18522,31712,31568,27940,18671,24017,31846,20963,26978,23979,26129,39790,32403,30416,18292,3814,4029,5301,4211,4085,4234,4120,60545,59108,58325,55531,55287,56865,57714
8.02_622.61_8.02_604.60_8.03_644.60,Cer d40:1 ,[M+H]+_[M+H-H2O]+_[M+Na]+,KEPQASGDXIEOIL-GLQCRSEXSA-N,622.6146_604.6039_644.5961,8.02333333333333,40767,72762,83641,55815,57565,111110,104670,115161,86149,70500,174155,64107,79103,95843,85490,23570,61339,102337,57048,122447,98282,141208,56658,140260,90396,104771,43187,155884,54316,69209,51094,99163,66496,47468,71562,114427,28893,40211,29573,19538,30044,30076,27684,21708,25472,31553,20352,25140,30464,31111,48408,38624,32278,27203,22676,23655,25203,23812,23053,23704,23458,58419,55979,56243,53377,55234,56878,58250
8.35_636.63_8.35_618.62_8.34_658.61,Cer d41:1 ,[M+H]+_[M+H-H2O]+_[M+Na]+,NAJHAHQNQCNWOP-PUYNVXOJSA-N,636.6299_618.6194_658.6108,8.345,14221,25748,33260,19793,19247,34195,44194,44418,26195,30021,54010,23033,30104,34505,36951,8844,20315,36423,15065,33408,29307,37214,17880,39575,23183,33072,11816,55168,15493,20500,16376,33142,25623,15951,22621,36912,13145,18799,11144,6416,12086,11169,10633,7914,9812,11660,7990,7715,13191,12287,16438,16584,12088,10796,20127,20835,20808,19519,20310,19058,20602,19832,18865,20009,19061,18969,19780,19398
8.66_650.65_8.66_632.64_8.66_672.63,Cer d42:1 ,[M+H]+_[M+H-H2O]+_[M+Na]+,ZJVVOYPTFQEGPH-AUTSUKAISA-N,650.6464_632.6361_672.6281,8.65666666666667,18557,39078,41290,27296,34077,53261,56423,60461,31779,41734,67326,31463,40945,56380,48454,12696,33457,53575,19495,41025,31848,35297,16049,36754,26389,45852,11121,77328,16569,22035,30846,59134,39917,27814,43766,67761,15310,24980,13956,11006,15049,13908,13833,14630,15413,15457,10089,12619,24223,19632,30106,26324,18137,21669,76228,77757,75460,76991,76900,78122,76877,27374,26470,27362,25696,25827,27049,26574
7.98_648.63_7.98_630.62_7.98_670.61,Cer d42:2 Isomer A ,[M+H]+_[M+H-H2O]+_[M+Na]+,VJSBNBBOSZJDKB-KPEYJIHVSA-N,648.6303_630.6199_670.6123,7.98233333333333,83361,287094,209429,152270,229134,244793,275369,339199,220409,265132,270878,252446,171655,188672,277101,60192,111499,231360,110244,248536,162650,133493,76766,139419,126209,248847,70054,289488,88583,106465,68614,151354,94015,74731,110430,153232,63930,92017,60819,47307,67462,65100,64055,67975,54158,67326,40217,49291,75524,59261,99844,71603,56553,66501,21283,21278,20415,20866,20327,21249,20954,122899,119919,119719,114491,115555,119112,120843
8.11_648.63_8.10_630.62_8.10_670.61,Cer d42:2 Isomer B ,[M+H]+_[M+H-H2O]+_[M+Na]+,VJSBNBBOSZJDKB-KPEYJIHVSA-N,648.6303_630.6194_670.6114,8.10433333333333,3103,8993,8373,5289,7524,8166,12685,12345,10135,8217,9679,6648,8114,7202,10323,2433,4290,8485,4179,8127,6542,6030,3548,6925,5078,8759,2723,14349,3622,4296,3334,6878,5164,3565,5296,8123,3303,5146,3186,1925,3284,2866,3282,3171,2612,2884,2125,2359,3631,2799,4480,3162,2917,2651,15193,14325,14139,14020,13869,14174,14224,5132,4659,4550,5114,4939,4480,4951
5.08_369.35,Cholesterol ,[M+H-H2O]+,HVYWMOMLDIMFJA-DPAQBDIFSA-N,369.3523,5.08,89152,189446,190391,149821,170306,310160,294706,406644,326985,129828,293238,137650,169162,154914,252740,78710,134643,173144,99062,187188,159190,229708,96084,238894,148489,166950,86215,314842,120735,159045,106769,207945,198207,129051,221428,303240,137530,186773,150663,113096,137525,157640,172893,157056,108104,126149,108612,134783,156432,135014,132889,185597,141683,136997,191468,221930,317223,220112,210562,206481,209549,158704,167039,163922,161793,160896,156062,156008
7.22_633.48_7.22_617.51_7.22_612.56,DG 34:1 ,[M+K]+_[M+Na]+_[M+NH4]+,YEJYLHKQOBOSCP-OZKTZCCCSA-N,633.4839_617.5118_612.5562,7.22133333333333,4959,7861,7736,8216,6829,7066,8552,6561,6107,5407,5961,7638,5510,4647,3481,3530,4542,8000,15951,34320,22613,10065,18383,12924,15684,18207,17999,13988,23182,14931,5079,7718,8099,5669,8500,11417,15564,13239,7856,8795,7410,11607,23788,9840,16226,11713,8866,22533,7275,14285,16431,11013,6006,6215,7630,7470,7799,7526,7451,7598,7428,11967,11890,11452,10308,11256,11387,11547
6.65_631.47_6.66_615.50_6.66_610.54,DG 34:2 ,[M+K]+_[M+Na]+_[M+NH4]+,SVXWJFFKLMLOHO-YAIZGCQRSA-N,631.4697_615.4963_610.5408,6.65733333333333,6699,5935,9373,8917,7670,6474,10742,11401,6749,6566,7443,9408,6069,5489,6148,4154,5021,7537,9952,15990,13559,8933,11647,16208,10037,12006,9050,16933,12697,6981,4640,5781,6706,4399,4265,8703,12660,7325,4799,5049,4091,5522,11896,5670,15014,7129,5278,18087,6113,12123,13824,9502,4293,5280,10267,10788,10413,9971,10460,10496,10192,8650,8620,9201,8301,8368,8303,8513
6.04_613.48_6.04_608.52,DG 34:3 ,[M+Na]+_[M+NH4]+,BHGPPCIWDXQOMA-IXDOJJAKSA-N,613.4806_608.525,6.0385,2457,2811,3622,3513,3401,3700,4295,3840,3486,3032,3234,5040,2191,1869,2240,1698,2046,2508,5301,9250,7279,4542,4857,6127,4296,5578,4453,6372,5464,3609,1454,1830,2366,1560,2122,3257,5496,3318,2400,2402,1689,2310,4758,2708,6776,2771,2268,6782,2686,3777,4415,2868,1757,1965,1175,1374,1283,1300,1314,1322,1529,3800,3723,3812,3470,3824,3525,4109
7.90_645.54_7.90_640.59,DG 36:1 ,[M+Na]+_[M+NH4]+,SAEPUUXWQQNLGN-LVVMQYBKSA-N,645.5438_640.5878,7.8995,1576,1957,2615,2226,1016,1563,2523,2276,1386,1346,1510,1774,2283,1324,1304,924,1256,2019,2444,6472,4558,2088,3596,2573,2369,2895,2871,3570,4215,2353,916,1643,1686,1006,1219,2204,1795,2131,1499,1281,1271,1861,4086,1561,2464,1846,1692,3639,1195,2290,2675,1985,1337,1043,1100,1352,1611,1335,1449,1154,1406,2173,2710,2429,2339,2210,2370,2181
7.27_659.50_7.28_643.53_7.28_638.57,DG 36:2 ,[M+K]+_[M+Na]+_[M+NH4]+,AFSHUZFNMVJNKX-LLWMBOQKSA-N,659.5017_643.529_638.5731,7.27466666666667,6060,8116,7773,10191,4992,7129,8704,6660,5098,5783,6072,7782,6922,4847,4829,4361,4962,7012,18751,72650,41878,9740,25776,10025,15147,23180,28596,12459,29940,25254,3278,6871,6454,5896,8524,9986,14993,14682,11674,10024,11126,18859,30510,12575,14587,14761,13228,17816,8391,15838,15973,10288,7791,6614,6229,6529,7223,6844,6475,6648,6427,14789,14412,15193,14343,13452,13631,15107
6.72_657.48_6.72_641.51_6.72_636.56,DG 36:3 ,[M+K]+_[M+Na]+_[M+NH4]+,BLZVZPYMHLXLHG-JOBMVARSSA-N,657.4833_641.5122_636.5557,6.72133333333333,10790,9006,14494,15081,7936,8980,14557,10929,7834,10192,11230,14203,9287,7274,7758,7156,7011,9399,15321,32254,27924,11571,19417,19562,13105,17119,15773,16767,20602,12441,4516,8437,7313,5738,5810,10148,15822,10361,7683,6626,6297,8759,15985,7825,19152,9817,8603,19928,7942,14709,16232,10591,6152,6651,14110,13238,13939,13252,13003,13640,13990,12541,12501,12461,12373,11975,12522,11734
6.23_655.47_6.22_639.50_6.17_634.54,DG 36:4 Isomer A ,[M+K]+_[M+Na]+_[M+NH4]+,MQGBAQLIFKSMEM-ZHARMHCNSA-N,655.4704_639.496_634.5413,6.205,13349,17730,17306,17603,10554,18558,18386,11919,8951,10104,11952,16069,13014,6658,6709,7629,8273,7758,18088,32624,20313,14324,17520,19104,21123,19046,10823,12406,19324,8665,5113,9217,7516,6975,5871,11982,10518,6382,4352,8232,2624,5814,9046,5272,15186,5844,5064,23527,6614,12469,13810,11935,4474,4645,6940,6705,7072,7021,6799,7064,6569,14312,13672,14035,13603,13232,12882,14107
5.86_653.45_5.86_637.48_5.85_632.53,DG 36:5 ,[M+K]+_[M+Na]+_[M+NH4]+,PGXBELQFNRPKBC-WBVIKXMWSA-N,653.4533_637.4797_632.5252,5.85766666666667,4210,4193,5289,5534,2251,5947,5212,5799,5424,4914,4608,6859,3259,2279,3203,3203,1956,3242,6946,8576,8649,4795,4674,4871,5123,5718,5794,6757,7107,3598,1193,2179,1847,1654,2922,3671,3632,2459,2131,3273,1657,2057,3674,3211,4739,2276,2174,9892,1618,2835,2614,2590,1523,1717,557,603,657,644,771,731,724,4130,4309,3676,3866,3942,4303,4202
5.42_635.46_5.41_630.51,DG 36:6 ,[M+Na]+ _[M+NH4]+ ,,635.4645_630.5107,5.415,1679,4082,2694,2746,1667,3299,2703,4923,6463,2225,3406,4647,2127,1232,1792,981,779,1799,3638,5927,4773,3316,2631,3348,3394,4036,2810,7517,2925,3103,1084,1373,1573,1151,1962,2791,3659,1812,1920,2180,1092,1943,3345,2175,2634,1754,1387,5664,1429,2188,3193,2497,1361,1768,238,175,15,79,103,146,55,2390,2418,2838,2773,2698,2352,2650
6.56_665.51_6.56_660.56,DG 38:5 ,[M+Na]+_[M+NH4]+,GRGDLDNREYVILP-CNWVQWJYSA-N,665.5112_660.5573,6.557,4799,13289,8493,6790,7700,9438,8219,10173,8938,7154,7957,10705,7412,5806,5541,2568,6133,9431,8832,16039,12297,9218,7065,11018,12453,12465,6875,14425,9293,8535,3712,5796,4653,4071,6263,8527,9529,5763,4306,4799,3729,6419,9341,5795,5945,4657,3599,10689,4338,4816,7706,7959,3889,4824,3136,3345,3805,3709,3474,3474,3451,7365,7655,7344,7175,7053,7090,6977
6.08_679.47_6.07_663.50_6.01_658.54,DG 38:6 ,[M+K]+_[M+Na]+_[M+NH4]+,YDVDXUYJFQLPEG-CTHJWPIASA-N,679.47_663.4962_658.5399,6.05033333333333,4279,10279,7936,7697,6037,8001,6813,11120,9420,6452,8334,13313,4020,6788,3088,2134,4938,10325,9310,17621,15565,8780,8796,9665,9895,10821,7632,7465,11159,8287,3899,6787,5864,4712,5248,7448,11296,6450,4916,5892,3121,6339,10515,5218,8365,5126,5051,13639,5887,7995,13129,9587,4157,8273,2528,2794,2660,2694,2178,2341,2543,7804,7628,7997,7787,7791,7989,8210
7.00_686.57,DG 40:6|DG 18:0_22:6,[M+NH4]+,LBDXVTOFXXDOGH-HSBBONCLNA-N,686.5731,7.002,9185,13326,12822,5421,5883,7976,14144,10901,4858,8205,8896,7211,13789,5449,11554,4040,6629,10573,4074,9787,6242,3990,5920,4519,5658,7893,4491,8150,6025,4565,3770,4091,4559,3367,3739,6068,7166,4875,2563,2752,3598,4573,7637,4191,5512,3981,2884,6623,2708,4523,6179,6546,2989,3048,255,194,206,151,106,124,115,5751,5771,5473,5438,5802,5556,5475
5.05_862.63_5.05_844.61_5.05_884.61,GlcCer d34:1 ,[M+H]+ _[M+H-H2O]+ _[M+Na]+ ,,862.6277_844.615_884.61,5.049,397,608,901,655,3288,22,1654,1811,1877,941,804,1190,693,469,1161,251,201,661,2434,4503,3898,4894,1686,1985,2905,3517,1448,3693,3474,4034,175,338,743,1067,1239,2058,2662,3163,4117,2207,3391,3190,3661,4444,1716,2257,2700,2954,3473,1512,340,3865,522,2101,152029,141421,122233,146895,151503,148286,150503,2564,1831,1589,1985,1660,2111,1976
7.36_784.67_7.35_766.66_7.36_806.65,GlcCer d40:1 ,[M+H]+_[M+H-H2O]+_[M+Na]+,QMYGQSYNQBLKGY-YAEABVQUSA-N,784.6682_766.6573_806.6518,7.35433333333333,7508,10552,11938,5190,6213,17698,17389,24267,12258,19308,15966,8104,12551,12753,17801,4239,11678,8324,5038,9464,6633,10270,5326,9503,7178,8373,3005,20895,6489,6381,7793,15070,10327,7480,12639,20037,5356,8282,7341,4162,6714,7378,6766,7706,5801,6394,3732,5504,11204,7723,8324,10566,7080,10798,15769,15639,15163,14856,14141,14319,14905,9379,7999,8363,7653,7985,8026,8022
8.01_812.70_8.01_794.69_8.01_834.68,GlcCer d42:1 ,[M+H]+_[M+H-H2O]+_[M+Na]+,SNVYJLGKALMFOP-MOLROICHSA-N,812.6988_794.6883_834.6807,8.01066666666667,4732,5266,6369,3725,4760,8915,12006,11243,6806,9764,9870,4487,9805,7937,9431,1726,6693,5607,2824,4649,3797,5136,3035,4991,3274,4516,1375,13295,3181,3745,5262,10410,7477,5179,9535,12354,4636,7257,5751,3603,5455,6042,5340,6672,5334,4926,3307,4342,11182,6842,6945,9795,5210,10407,19936,19139,18927,18920,19358,19303,19076,6648,5432,5770,5649,5372,5303,5544
7.32_810.68_7.32_792.67_7.32_832.67,GlcCer d42:2 ,[M+H]+_[M+H-H2O]+_[M+Na]+,WBOZIXHPUPAOIA-RBELZSLISA-N,810.684_792.6739_832.6663,7.32233333333333,8526,15001,14736,7411,13722,20154,21617,32342,20389,24222,19503,14369,16296,13103,21393,5389,12110,13072,5863,12508,7799,9335,5523,7601,6922,9973,3551,19901,7292,7239,5828,12733,10226,7103,12334,14998,11401,14580,12818,8458,12232,13880,11988,16338,9128,11035,6833,9097,17926,10264,11982,15774,8294,17632,14066,12576,12328,12002,12520,11944,12322,12345,11244,10680,9823,11012,10362,10841
7.69_798.68,HexCer 41:1;2O|HexCer 18:1;2O/23:0,[M+H]+,SJGWLQDELUWRDA-JMUUFCRMNA-N,798.6834,7.687,1266,2007,3584,1425,2387,8938,4019,6999,8432,4966,6424,3851,6083,3207,3829,1672,2745,3311,895,2039,1420,2943,1151,3277,1863,1474,592,4113,1142,1579,1029,1882,1767,1211,1841,2704,1151,1680,1373,690,1044,1280,1296,1291,881,1043,639,890,1960,1405,1420,1887,1081,1656,2270,2516,2813,2212,2383,2257,2220,1872,1834,1826,1804,1682,1760,1946
7.96_838.71,HexCer 44:2;2O|HexCer 18:1;2O/26:1,[M+H]+,WHSQUXFOASSDAP-GHFDWVPINA-N,838.7147,7.962,267,478,555,333,728,824,789,1107,680,815,970,548,362,809,813,226,399,677,273,681,581,261,273,344,435,445,179,1145,210,382,330,885,688,592,927,441,531,681,582,280,473,521,518,764,340,415,216,390,724,394,473,790,181,938,84,4,7,102,3,77,3,598,440,571,367,467,493,515
7.01_972.73_7.06_994.71,Lactosylceramide d18:1/24:1 15Z ,[M+H]+_[M+Na]+,MKOKWBRPIBQYJJ-LWQSSKHKSA-N,972.7311_994.7148,7.0355,1265,1254,970,956,470,1090,519,405,864,847,714,790,1990,541,993,1285,457,518,165,245,122,507,1044,267,144,436,647,36,400,256,288,305,6,242,111,246,116,162,223,32,42,195,44,109,164,106,182,414,535,147,48,212,141,157,2434,2670,4731,2271,2332,2245,2500,599,462,402,517,428,390,371
1.03_468.31,LPC 14:0 ,[M+H]+,VXUOFDJKYGDUJI-OAQYLSRUSA-N,468.3082,1.028,574,993,1736,1016,882,2500,2594,3686,2555,1304,2771,1573,1568,787,1161,316,484,819,550,1429,1365,848,1382,929,442,613,668,2938,952,896,249,689,265,346,542,972,1386,1130,1179,969,751,1023,1395,868,1346,925,797,1154,285,546,742,624,273,312,10782,10844,7182,10880,10498,10392,10096,1118,1085,1007,946,906,796,992
1.26_482.32,LPC 15:0 ,[M+H]+,RJZVWDTYEWCUAR-JOCHJYFZSA-N,482.3247,1.264,694,1480,1623,907,858,2021,2209,3251,2022,1005,2262,1326,1815,819,1049,355,630,1017,586,1333,1203,985,1208,1423,609,717,468,3857,687,1024,421,701,412,470,661,1009,911,784,637,394,645,675,1072,676,542,669,680,547,485,880,877,696,499,249,8926,9893,8038,8918,8995,9520,9118,778,1119,1007,833,799,919,669
1.57_496.34_1.57_518.32,LPC 16:0 ,[M+H]+_[M+Na]+,ASWBNKHCZGQVJV-HSZRJFAPSA-N,496.342_518.323,1.573,65298,135050,143409,106623,78661,172953,177698,194435,118897,118760,170002,108167,131944,69341,79236,26554,47926,131729,111743,237240,221577,151802,319753,182657,111793,119126,98176,351352,130798,137184,56142,104272,72466,65411,76092,109021,111639,126987,98447,73266,72265,105482,138177,87177,143389,123643,86527,104245,46470,115269,139968,86187,57372,32577,3282552,3143793,2176852,2886313,3049022,3114464,3185231,118107,113012,115394,108425,111742,113593,114310
1.14_494.32,LPC 16:1 ,[M+H]+,LFUDDCMNKWEORN-ZXEGGCGDSA-N,494.3244,1.142,1760,4790,4446,3288,2686,7495,5744,7619,4866,3576,5547,3588,4538,1535,2495,873,1249,1863,4095,7972,6848,4419,5780,4639,3243,3435,2370,16112,4358,5679,1357,2506,1387,1456,2197,3297,4334,4901,4365,4047,2849,3725,5324,4515,6554,4741,3209,4592,1426,2805,3075,2915,1308,1337,17736,18538,14450,17045,17187,18736,17844,3600,3804,4039,3606,3809,3477,4012
1.40_508.34,LPC 17:1 ,[M+H]+,LPMGFNAQZPADDZ-FJIRUFBNSA-N,508.3418,1.404,511,1270,1082,713,559,1552,1307,1582,931,609,1082,701,1504,471,523,211,403,593,675,1564,1138,676,872,866,598,555,400,2742,820,866,351,601,412,463,524,741,454,767,476,449,427,544,774,827,941,645,529,569,381,655,467,661,278,260,2250,2390,2537,2054,2149,2601,1929,679,656,811,744,553,614,765
2.40_524.37_2.40_546.35,LPC 18:0 ,[M+H]+_[M+Na]+,IHNKQIMGVNPMTC-RUZDIDTESA-N,524.3724_546.354,2.405,17463,21274,36960,14725,23283,30579,43234,33292,18228,20456,25912,14886,39052,11955,21847,6110,12246,33660,20638,45231,46749,23626,61830,23233,15820,19807,18264,42363,21838,21804,12884,22428,16410,16724,16495,25924,16116,21444,13879,10755,12415,17226,23292,18268,27008,19033,15798,15114,9924,25833,29370,18804,13549,8004,1174504,1154369,1191925,1112150,1128221,1140872,1158077,22488,20787,20926,19367,20194,21616,21512
1.73_522.36_1.74_544.34,LPC 18:1 ,[M+H]+_[M+Na]+,YAMUFBLWGFFICM-PTGWMXDISA-N,522.3566_544.3379,1.735,15849,30269,35985,25189,16180,38387,40146,42876,15344,27773,31904,21706,30108,13187,22160,7384,13209,29997,32644,77394,69018,28415,69932,32628,22857,29524,27828,71573,43890,40318,15189,31419,18022,20142,24218,33648,31555,50611,38855,26943,32039,36865,42651,39248,66977,48646,38261,33873,16557,31463,37532,25708,16859,11197,295552,304036,294832,287887,287100,287694,292071,32920,32865,34107,31789,32641,32490,32532
1.30_520.34,LPC 18:2 ,[M+H]+,SPJFYYJXNPEZDW-FTJOPAKQSA-N,520.3411,1.297,3176,4239,10110,4786,3767,8202,13127,12147,4243,6520,9570,5516,8105,2621,6214,1318,2536,3988,3990,8289,10307,7359,9239,12026,3675,3949,2640,22590,5679,6517,2551,4338,3255,3063,3843,6834,7744,9243,6859,5101,4814,5861,8207,6236,15510,7631,5679,6543,3634,6088,6713,7004,3053,2456,446854,447934,363439,430192,439447,432036,439989,6053,6014,6100,5797,6141,5383,5979
1.02_518.32,LPC 18:3 ,[M+H]+,WKQNRCYKYCKESD-YVHLTTHBSA-N,518.3241,1.022,3548,4962,6846,2840,2487,10067,8238,7844,3394,3678,6014,1863,6010,1175,3595,743,1509,1160,4680,7851,7227,5941,3880,7259,3414,2556,1505,9265,4403,4934,1545,3109,1317,2094,2628,4635,3523,3238,3313,3817,2345,2731,3137,3356,5557,3981,2668,4574,2455,2149,3017,4061,1545,1619,3936,4126,3133,4223,3996,3833,3602,3692,3666,3752,3265,3361,3477,3944
3.17_552.40,LPC 20:0 ,[M+H]+,UATOAILWGVYRQS-HHHXNRCGSA-N,552.4027,3.168,427,792,1425,498,1222,2324,2974,2329,1527,718,1713,747,1371,797,642,202,560,1557,448,936,841,1110,873,946,524,722,493,1695,613,621,570,1085,600,588,777,1879,714,666,840,317,540,562,1070,705,850,612,550,614,589,785,1213,1120,521,613,6007,5894,6408,5709,5370,5413,5604,929,681,789,700,595,745,755
2.56_550.39,LPC 20:1 ,[M+H]+,GJTDRNFWIDPARY-GTPZACKGSA-N,550.3881,2.555,616,1051,2193,1318,1917,2412,3782,4038,1382,2107,2645,1771,2544,1080,1203,296,765,2272,1311,2576,2684,1583,2317,2130,919,1369,912,3970,1274,1402,1050,1761,1031,1057,1487,2704,1647,2640,2108,864,1588,1702,2399,2087,2960,1976,1993,1571,971,1986,2652,2043,1070,986,5477,5812,6712,5714,5536,5455,5664,1732,1798,1595,1584,1677,1638,1664
1.92_548.37,LPC 20:2 ,[M+H]+,YYQVCMMXPIJVHY-ZOIJLGJPSA-N,548.3716,1.923,297,1089,1256,610,838,1742,2252,2360,942,1289,1190,803,1600,524,1037,244,528,1315,834,1559,1677,1059,1368,1110,508,736,437,3088,943,1161,589,886,608,539,648,1353,867,1380,1099,594,818,1202,1615,1398,1452,1052,1119,892,794,845,1068,1041,522,464,6608,6720,7997,6076,6562,6468,6300,1151,869,1124,885,848,1064,1070
1.50_546.36,LPC 20:3 ,[M+H]+,BBNHCUBQEQJHIG-FZZJNMCHSA-N,546.3559,1.5,697,1187,1452,709,1142,1891,2219,2320,1001,1082,1115,682,2668,470,1152,304,720,1058,931,1716,1602,1321,1194,1544,812,824,445,3548,1086,1483,859,1503,753,812,1188,2179,673,1016,827,698,777,975,1121,1151,1669,1254,937,1243,1143,1168,1429,1587,608,613,24785,26271,24767,24875,24114,24780,24012,998,1087,1047,906,1082,1152,1318
