,,,,,Label,S4.1 B,S4.2 B,S4.3 B,S4.4 B,S4.5 B,S4.6 B,SR.1 B,SR.2 B,SR.3 B,SR.4 B,SR.5 B,SR.6 B,S30.1 B,S30.2 B,S30.3 B,S30.4 B,S30.5 B,S30.6 B,PR.1 B,PR.2 B,PR.3 B,PR.4 B,PR.5 B,PR.6 B,P4.1 B,P4.2 B,P4.3 B,P4.4 B,P4.5 B,P4.6 B,P30.1 B,P30.2 B,P30.3 B,P30.4 B,P30.5 B,P30.6 B,TR.1 B,TR.2 B,TR.3 B,TR.4 B,TR.5 B,TR.6 B,T4.1 B,T4.2 B,T4.3 B,T4.4 B,T4.5 B,T4.6 B,T30.1 B,T30.2 B,T30.3 B,T30.4 B,T30.5 B,T30.6 B,Biorec001,Biorec002,Biorec003,Biorec004,Biorec005,Biorec006,Biorec007,PoolQC001,PoolQC002,PoolQC003,PoolQC004,PoolQC005,PoolQC006,PoolQC007
4.39_672.42,,,,672.4161,4.39,22893,42183,25238,38433,30264,26138,20275,24706,30826,31969,46040,23205,26797,24518,22141,25026,25127,37391,34823,23133,19893,20116,25398,28824,32952,27203,26392,28074,23386,32343,26283,22860,30293,25294,30881,26556,24863,38495,25923,29946,30852,23736,25531,24600,28432,28673,22714,34236,39108,33080,32568,22301,46516,29414,7877,6604,5759,5554,5960,6160,5435,43632,33577,27933,25709,23966,22655,22396
5.07_760.52,,,,760.5154,5.068,32376,56873,42628,76703,27219,22775,23194,19932,39444,28593,106953,24858,23681,19459,23248,17941,25206,45162,18163,16809,13850,13742,21230,31099,91714,16692,15761,18367,24067,15962,26709,20678,45778,19217,16378,31966,36978,55421,16052,13391,18359,21040,21203,16245,14021,32943,12268,7858,33419,29385,16717,19847,23405,16538,1094,1040,1506,1104,3206,2884,3586,106515,30262,22236,20000,18369,18442,15547
6.08_819.64,,,,819.6376,6.079,22561,40231,24728,34366,31234,26680,23049,25035,29560,30729,43344,23000,27549,27192,22460,26317,25605,35563,37455,25142,21107,20391,24278,27552,30739,30374,28165,28710,23152,36647,26580,21952,28523,26714,34104,25798,22483,34636,27572,34555,31495,22778,27474,24946,30873,26620,21419,41329,36558,31553,29027,21730,37116,29866,12086,12117,15361,16593,11378,10775,16734,35197,31384,28709,26593,25055,23940,23445
7.11_780.59,,,,780.5924,7.114,41911,32008,47404,35931,14407,27259,19488,28354,42367,26366,29646,63381,27076,17045,41283,21591,27988,23079,13383,21567,23308,29844,29986,25426,29277,18788,17015,25905,30466,15423,23351,29301,27935,22477,17755,26684,41941,31019,22474,15542,22097,29482,29649,31823,13852,28224,25894,9565,28173,35278,18689,45073,17463,25926,3913,7118,6553,7027,6522,6734,6586,28719,27765,28414,28686,27955,26996,27355
1.14_233.16,,,,233.1554,1.139,9995,26059,10350,12542,19367,24861,7886,8712,11631,15130,19119,13052,17667,17616,10555,20542,12835,25123,58200,33223,15722,22045,18234,28236,51627,110829,31461,18476,25080,46150,38652,17801,23681,21674,56846,27186,21962,36433,41038,38676,29773,31750,32471,21542,24609,27894,49359,108438,30366,38849,35476,14045,56870,22761,6220,4982,6488,5315,14084,13970,14907,34851,29386,26608,28478,27668,27386,25129
8.01_978.72,,,,978.7239,8.008,26252,25139,30196,27664,19027,21510,15325,17910,27594,20902,24238,27617,22713,15029,27308,23787,25601,20032,16491,35583,33577,38507,43239,34295,38268,28457,24569,20695,42912,22323,30112,33116,34792,33252,27906,35661,30148,26736,28638,17513,31388,33775,28094,27425,16314,34478,27481,18976,30176,36804,20699,33181,20284,24550,51,52,42,46,53,51,50,29239,28975,30415,29765,29318,30720,30765
6.81_934.67,,,,934.6655,6.808,7770,2339,4709,1732,4982,62308,61198,29939,5497,7528,2561,14635,14940,28976,14742,60701,6792,2470,4681,24417,129069,188520,20836,4500,2685,77115,62187,10178,43623,17700,8960,32631,2567,30775,13165,6101,6076,3165,10383,16212,5402,6793,91118,78069,2001,3384,87851,9615,2963,7435,10643,43537,2315,18032,238,5,142,238,5,5,258,2482,3184,6826,9576,22711,24826,61502
7.00_822.60,,,,822.6,7.001,30712,31090,31637,26482,17704,32734,27845,22505,33908,34293,32583,29461,28982,17898,26266,21734,31593,22409,18286,27123,31418,48240,36418,32411,41049,20333,21553,22873,37414,21485,30179,37998,31285,31733,25553,40339,27299,25001,21296,17505,24099,28083,28022,26705,14700,27236,21016,3471,27472,27943,21575,35382,13164,22196,18,19,15,17,19,18,18,32116,29681,29903,28745,28373,28746,27503
6.72_754.62,,,,754.6212,6.724,49306,28721,53592,33261,16227,28637,30308,28627,31338,22245,32832,39955,23675,13394,43863,37880,38527,21025,12464,28246,37613,46108,42795,35051,37690,18271,21962,20544,36033,22759,29834,35521,30491,35757,24147,41216,22228,18612,18477,10863,18878,22434,16890,20939,10933,23465,18980,7143,19368,21653,13484,23932,10206,16181,10,10,8,391,1097,744,392,28205,29816,28590,29849,29343,30397,29789
8.79_1026.74,,,,1026.7402,8.793,33900,23446,36638,32626,14206,20947,25273,16711,37486,20506,28027,33191,22384,10730,31270,20719,28758,27202,10060,20913,22578,33699,31113,31541,41542,17016,15482,19051,35597,16343,26657,25576,36327,26337,16501,34318,43572,34655,30963,16620,30524,36117,26621,30782,15941,44187,26746,9836,39562,41526,19054,40813,22108,21927,486,177,120,158,178,150,260,35114,30697,28567,26938,25056,25199,25381
8.02_1010.70,,,,1010.704,8.02,31546,20446,29597,33127,17753,24250,33364,26452,37490,23994,29588,37080,31492,19936,32066,24057,28933,30680,10572,19066,19480,23831,22864,26561,24536,21584,14500,32798,21307,16420,24441,21288,28589,23762,16784,29659,37637,40724,32810,23388,31522,29540,32600,34608,19540,32561,31965,12250,41130,39657,28726,39024,22937,32435,140,491,322,32,218,328,207,30511,29716,28516,28644,27777,26893,27832
6.85_848.63,,,,848.6251,6.848,41578,29063,42493,29734,11368,30229,19123,23076,43229,24647,19734,61349,23070,12447,36402,21558,27121,16814,8376,21340,29325,38373,33419,28332,31807,17498,14301,18137,34452,13155,20589,30385,27096,26616,12222,29798,44862,27285,24377,11485,24346,35341,32861,32948,10378,34717,29911,7255,27097,38931,12429,53153,11609,19289,11,11,9,186,429,11,136,25079,26099,27556,26907,28496,27778,27903
5.90_686.51,,,,686.5142,5.899,35842,51311,30362,50634,18557,85665,25764,20087,70377,69957,45855,30334,30379,14039,28457,48906,34878,26442,16493,12545,13314,33712,15576,14571,21776,24729,10700,11241,21154,8648,15844,13720,14956,12150,12293,23620,26937,18339,18579,27854,20030,24354,35663,27567,22824,25388,26140,17435,44703,40592,15862,40182,22861,21340,1028,656,650,823,747,436,655,36798,28011,24027,24130,24967,19183,23947
4.79_672.42,,,,672.4152,4.788,22254,43908,23247,41320,27126,24480,18441,21252,28561,29153,54664,24269,24020,21762,21699,24020,23149,37442,33466,25079,16820,18888,23134,27461,38138,26990,22711,26420,21372,30538,25705,20084,31758,23210,28577,26339,26163,42330,25051,28517,29878,22423,25592,23693,26186,29945,20451,34141,48510,34705,30756,20865,54576,27241,11202,13062,12214,11725,8183,7551,7703,50862,33146,26833,25532,22890,21136,20650
9.12_918.72,,,,918.7175,9.116,34832,18660,31526,35668,14216,17352,19107,13065,31464,16627,26506,27649,19890,11984,22440,16098,26690,21648,13505,28716,30859,40647,51005,36925,48516,22047,21064,21084,47669,20670,29341,37177,45273,37491,23502,38331,29584,29080,20262,16340,23722,30251,25120,22588,12973,38903,24341,12321,35745,33891,18757,30994,19670,21330,226,221,346,221,13,542,13,31502,27404,24228,22576,23163,22473,22140
8.14_759.62,,,,759.618,8.141,22801,31466,25542,32823,28842,26932,21370,23509,29998,27444,32776,26964,22417,19136,23812,21769,23857,28842,29315,26957,23152,26081,25710,25931,33930,34153,23833,24118,25666,23983,26800,21635,28338,24738,28111,28550,29982,33318,35487,23930,31670,27691,25872,25548,23220,32083,24915,48896,36029,35093,24187,26960,41280,26290,10378,10005,7503,8421,8850,8449,8862,34543,29796,28445,26730,24814,25281,24395
6.89_688.59,,,,688.5895,6.886,47352,37035,34393,34168,14491,44559,38685,44974,42258,41295,31737,34244,35268,14306,44802,32421,37725,35500,15728,23473,24104,30492,25671,28237,33926,24871,22440,25108,33183,11886,30697,26358,29779,24852,21996,32379,29137,20671,20206,5865,21257,23214,19074,19942,10320,21986,20767,8408,24421,20629,7086,30643,16823,12023,335,516,237,3,107,188,130,31467,30255,29991,29010,28710,29949,29482
6.54_651.48,,,,651.4764,6.54,20853,53273,18188,43750,34259,25863,16421,22148,29613,21581,42530,26339,22276,22335,24962,28661,20956,27511,34981,30353,13938,24483,17244,24013,44530,29682,24088,23868,28524,15495,23713,17557,28466,23609,27201,24476,28417,41278,29797,33650,37223,30406,21660,21916,20772,39558,29042,27918,51806,26468,12494,23633,39154,31266,2334,2864,2881,2726,3377,3382,3398,47114,33397,28432,26718,24480,24312,22413
8.20_954.72,,,,954.7168,8.195,28010,16556,24484,25579,16737,24588,24996,17144,34737,23788,17985,28545,22178,11803,20859,14009,24695,25751,12079,24421,25318,36058,27999,27612,39770,23744,13708,16445,29794,14402,26258,22969,25531,24935,17131,33871,45285,36259,36388,19090,37357,38304,29289,35345,17535,47929,30522,19823,42975,42673,21514,51691,24583,25824,484,479,647,371,6,1005,373,30959,28327,27009,26569,25783,25703,25407
7.13_857.67,,,,857.6747,7.132,26563,27686,27084,28728,20822,23351,17819,18531,30089,22473,28712,30981,19507,15135,27645,21726,19710,23273,21511,28515,29612,31645,40493,32001,37957,27446,21556,22675,32716,21254,24973,29040,34216,32727,25351,30463,38185,34389,27290,20329,27643,32741,30333,28395,14777,32290,27831,19472,30289,37007,25310,31417,21063,26701,15258,15470,15734,15449,11194,11302,11585,32913,29378,28856,28737,27965,26378,26973
6.94_892.69,,,,892.688,6.938,30791,32857,33403,29099,28597,37583,22812,30267,34131,44782,29371,42902,31263,17861,31332,23787,41345,28501,15667,23639,22467,32392,23107,29485,31962,21886,15952,21749,25392,19050,24411,24645,23462,22887,19015,31578,34715,27459,21329,14781,24108,24076,27918,30306,14467,25835,22271,12815,30528,33714,17387,43241,20701,28195,4263,3907,2775,2793,2996,2278,2616,32220,29198,28915,27728,26937,27225,26094
7.79_778.60,,,,778.5956,7.794,22357,37508,24835,36053,23565,29208,22951,26888,30555,33291,44957,23310,28466,16708,23235,27964,25863,37043,24053,26262,21595,21706,26334,29333,31794,28536,24395,22447,24112,23773,27660,22604,29094,24183,24604,27769,24902,35741,28937,24187,32893,23360,28476,24717,24081,27286,24578,35306,38061,33271,22583,21671,42220,31292,12599,9945,7266,6843,7455,7317,7204,40312,32123,30370,28708,26410,25264,24220
4.78_612.40,,,,612.3951,4.781,20722,42365,23257,38771,27555,24065,18203,20890,29764,26528,54530,23258,24455,20432,21876,23652,22250,35772,33237,23370,18552,18841,23140,28489,41147,27983,21793,26634,21234,31764,24956,19013,30205,25642,27652,27817,26374,44728,24761,28192,30660,22006,24367,22747,25753,31254,21334,34175,46500,32658,29373,18795,52899,28143,11025,14028,12901,12179,8818,8355,8740,50275,33748,26065,23525,22897,21706,21561
8.31_901.66,,,,901.6566,8.314,28193,25072,32718,23055,12972,21117,18020,12106,25653,18163,28893,29144,14982,11249,21979,26869,23984,19726,15612,33759,36258,50636,45487,40099,38878,23370,25121,16795,44166,20646,33955,49950,47781,41239,27266,40543,31094,20253,19122,13008,20684,26299,25923,22935,12192,29922,22880,11960,23586,29496,17807,37950,15668,20412,489,758,1111,982,929,1042,1400,28269,26867,27880,27328,27649,27697,26588
9.08_918.72,,,,918.7227,9.081,34832,18660,31526,35668,14216,17352,19107,13065,31464,16627,26506,27649,19890,11984,22440,16098,26690,21648,13505,28716,30859,40647,51005,36925,48516,22047,21064,21084,47669,20670,29341,37177,45273,37491,23502,38331,29584,29080,20262,16340,23722,30251,25120,22588,12973,38903,24341,12321,35745,33891,18757,18014,19670,21330,208,221,621,396,550,479,348,31502,27404,24228,22576,23163,22473,22140
8.56_821.64,,,,821.6416,8.564,20616,33822,23445,32624,30679,25840,20954,24015,27796,28971,28754,23374,25212,23065,21639,24357,23776,32701,36264,25101,20928,21488,25100,27280,32506,32391,26486,27920,24256,31852,26046,21013,28377,25582,30217,26380,24386,33746,29898,30205,32342,23676,24531,23072,26302,27380,23226,43308,34836,34750,31128,21510,49986,28215,27333,23852,20084,18352,21694,18588,19399,36500,30764,28094,25817,24321,23878,23075
6.07_725.54,,,,725.5373,6.067,43488,17935,36047,24812,18792,39458,43250,24288,44927,42083,21786,38798,30475,18740,28841,19343,56834,27837,9235,17258,22292,26079,19888,20613,29806,14672,11104,19167,23084,10180,21834,29396,23989,21259,14649,32999,34228,26836,22731,15134,24452,31773,20947,36278,14390,26002,21294,7457,28482,32599,16372,70636,13812,30005,2076,1992,1748,1803,1613,712,2144,26811,26933,25609,29917,26654,27565,29204
7.74_759.62,,,,759.6158,7.743,25800,27712,26579,39700,23683,22062,19934,20845,27308,25602,28246,28207,19960,17313,23577,21671,23059,27834,22328,26082,26850,30685,30673,28636,37201,27998,23086,23711,32968,21315,27548,28313,32231,27360,24358,31582,34656,32528,30822,20077,29421,32270,26013,26448,20051,33535,26661,31195,30965,33263,21496,27343,28277,22757,7703,7750,5713,5823,6848,6169,6247,32861,29903,27538,26036,25351,25212,25111
7.02_667.56,,,,667.5646,7.017,29655,87750,21985,38169,52631,75794,30764,54218,43552,46432,60923,19425,54632,63432,34020,42859,35308,51012,49236,17695,10097,8018,7233,19593,21298,24754,25339,18812,13237,36127,21548,10134,13674,15270,29338,15478,8632,12700,12092,27052,16935,9574,17885,8801,28623,11338,13929,34428,24277,13809,24636,12578,36168,22939,201,115,8,8,10,9,183,38428,29279,26233,24472,23401,22327,21330
6.14_763.55,,,,763.5497,6.143,27272,29102,33615,26248,23608,39993,32886,31723,57401,34962,23668,52791,32127,15169,28591,23831,29129,27466,10164,20847,23031,31069,24472,26313,26344,17959,11284,25078,25755,15031,22753,25714,23418,22536,15823,31971,40934,28944,22672,13569,26232,24668,24950,33397,14926,26521,20327,10832,29288,33949,18014,48536,15635,30519,7,7,6,7,281,7,7,27263,27358,26364,27149,27066,26842,27352
5.33_898.58,,,,898.5801,5.329,29809,28166,34392,33636,28484,20693,24569,25029,31943,31311,41347,30640,35070,29947,25622,10707,30166,33732,23557,13117,9,11389,25185,35017,22854,13699,10587,38378,13080,20548,29018,15356,32821,18315,23788,30280,30249,33048,27672,25683,29373,25656,33217,34278,32781,26515,34934,31124,36656,37608,40500,29827,35628,37125,99610,101695,87062,96609,111101,110280,107439,32402,32700,31306,22742,20277,15374,16854
7.59_718.62,,,,718.6185,7.591,39876,19726,26332,22894,13398,8408,20584,20924,23480,15034,19064,15525,19504,20206,40255,27190,17240,19766,33074,34797,42498,46577,59293,36828,20772,47119,42960,23689,65987,25749,38336,37767,48577,40065,33670,35724,25164,14231,18238,9895,24526,21807,25674,15479,14090,17489,18860,22537,11289,19803,11683,23691,11292,15283,17,667,14,16,18,17,17,13031,28705,29719,29582,30012,29289,30441
6.57_788.55,,,,788.5492,6.571,32926,22621,65471,46106,12936,13421,34330,9482,30137,19146,24544,28548,9846,15487,24029,12118,33025,45546,20009,16770,18762,11714,61141,25583,57168,18086,23520,8673,33889,16143,35104,23582,54888,41776,14419,22048,44094,45854,37679,32048,15354,21996,24806,24475,11052,25800,22676,13707,20287,35247,9432,23939,17663,15975,582,4,3,4,297,43,333,51724,34199,20148,17869,19584,22768,27875
8.25_648.63,,,,648.6317,8.247,25714,26075,26018,47726,52017,24730,20973,30886,32283,32450,52952,42903,26188,30055,28991,17212,23165,22310,12143,16069,14248,15023,21354,11625,20822,21640,13017,16857,13119,8443,13724,10324,17763,11401,11055,15266,58868,43380,61317,16074,34613,58723,28243,39071,38154,39209,32850,34991,19589,28152,16282,26359,24546,22501,1143,1145,1081,1119,1275,1575,1443,26591,27594,27861,28390,28179,29671,30179
5.93_830.53,,,,830.5331,5.932,17299,25567,23540,23591,27941,27229,24272,19100,40937,29834,26084,33769,23992,12826,16983,21633,23812,33688,15628,23576,21465,24249,25864,24540,25957,20687,16465,24770,28660,20625,26321,23474,30647,25867,23421,31240,40796,40646,29055,19493,37384,27464,23352,29940,22742,35822,23326,18095,41075,40312,26479,38514,28487,40735,7981,7403,5330,5292,6423,6141,5616,34985,29795,27465,25227,24160,24317,24166
4.71_885.55,,,,885.5492,4.706,42906,24335,41784,19442,32846,48939,34873,47909,35341,39570,21568,38130,49721,31878,30955,25329,33308,16013,21835,21925,29192,30776,17217,24677,17409,37024,48154,27391,24359,25417,21316,29629,19974,22418,19531,23643,15845,9366,15518,26936,13353,15098,26504,32736,19069,12618,32922,25844,12028,14587,27396,28999,8577,21879,873,885,38,428,47,46,45,17474,19430,24942,28251,34007,31234,39766
4.95_787.53,,,,787.5302,4.945,31585,8566,33990,13328,17439,23078,23029,18541,26149,22841,11,29354,28088,19502,26932,28515,25951,7326,20989,34006,27880,35821,41247,29578,18051,28545,29319,18884,50080,26436,34678,46279,43198,41179,32868,36458,30086,1202,25872,21895,25247,32093,26948,27937,19275,33025,20508,12969,13063,34300,28555,37209,7853,27329,9,9,7,8,9,219,9,10,28922,29731,30149,29333,24530,24848
8.19_892.67,,,,892.6732,8.187,26398,33115,28067,34530,27416,23597,21065,18033,30881,27433,34680,26101,22838,15873,23637,18959,23249,32709,28179,24266,20271,21968,24938,26190,37626,29037,20837,22116,23098,22154,25499,20259,29759,22260,25553,28389,33440,38304,33914,21387,33358,28384,23100,23967,21722,34475,21451,39767,38148,38456,23452,24341,43782,23814,11299,9194,7523,6810,7623,7344,7153,39440,32147,27744,24908,23074,22257,21329
7.70_977.71,,,,977.7093,7.697,42717,17530,27005,47687,18526,17137,34492,29283,24003,22636,28643,24806,27146,26436,28189,18000,23950,22340,14806,25831,22698,29015,30451,27865,39168,27992,18168,19497,25411,18093,23761,19282,27688,24491,18437,29981,37999,34399,38347,17195,30673,32401,23535,27895,18091,39906,25818,32180,25439,31580,18877,24917,22868,21647,11,11,9,106,11,11,11,31176,29699,28878,28474,28048,27249,26997
8.11_876.67,,,,876.6749,8.109,38977,25540,34731,33350,13050,33970,24845,23494,40853,28536,25404,38133,26522,11781,31756,19413,28962,25755,10465,21591,24948,36389,27938,30855,35840,17865,14958,18251,31000,16703,26344,27428,25691,25794,16405,35501,35831,27784,21242,15588,27733,15803,27760,30296,14340,35354,23736,9119,35271,35870,16994,47496,18573,23317,8,8,129,392,8,8,8,28921,26849,26357,26388,25228,25257,24107
7.66_724.65,,,,724.6476,7.657,35967,16706,26852,26333,14987,18101,15275,15466,28547,14642,19263,37884,16729,11776,30551,17600,16467,16183,11811,23675,32137,43183,44305,24504,37095,22671,16673,16177,41416,11688,21226,27308,34038,28424,16435,28522,51195,28704,31948,11215,25615,52311,26989,29420,13744,53335,32042,13269,25949,35638,12875,40399,13426,18811,2668,11493,2823,2673,3244,3439,3100,24030,24598,24448,24985,26696,26134,26108
4.63_559.31,,,,559.3086,4.635,21075,39202,23005,34285,27547,25542,20071,23518,27692,28951,41063,21366,25561,22878,20777,22432,22758,35603,34493,23888,18990,19436,22982,26095,31183,26443,27454,26977,21598,35179,24917,20679,26947,24135,30901,25382,22787,33197,25838,31973,29964,21505,24420,22543,29069,27633,21401,36391,36273,31596,34758,20657,42457,29282,9177,8359,6028,7790,7815,6257,5785,39533,31088,27242,25241,23052,21602,19993
7.30_655.51,,,,655.5077,7.297,20852,23218,23482,31194,12029,21766,14969,22091,23379,18088,27490,23931,21616,21044,19260,17782,17138,18776,33194,45487,23863,34742,19664,20178,39867,30090,45036,20900,37185,12607,29725,23805,34849,28615,40718,34517,31313,28947,37540,20756,34429,38592,12711,23842,23242,39675,34755,12282,37136,22473,10458,25689,22833,26810,12492,17516,17382,15598,19699,20715,20281,33834,28449,29827,27877,29224,28965,26106
6.73_894.67,,,,894.6679,6.727,37341,27921,36352,23767,6031,12447,7023,15541,22075,14307,18920,20621,11113,12767,23362,23266,14658,8917,18973,39895,54259,56779,64102,39471,44976,32381,38403,14483,78670,28575,31479,46922,55589,49326,33650,35341,20011,19157,14373,7811,20410,17194,21563,15659,7229,16355,16380,7497,22941,20064,8500,20537,7888,11834,2087,2004,1372,1303,1416,1699,1621,30021,28999,27618,28525,28775,29127,28552
3.42_385.31,,,,385.3118,3.417,15779,21812,25744,26724,26020,17541,19304,23125,20413,29016,21659,33733,13319,17583,21923,17330,18373,15653,17988,29526,34057,38887,30454,39343,49271,17234,25519,46892,30361,32024,27957,27495,32782,26708,15878,29464,52930,34486,28080,15623,22434,33254,30347,33205,21007,24428,26150,19574,17645,19424,13109,21224,13644,31799,1404,1666,1380,1491,1787,1649,1355,31586,29328,28555,28514,26143,28509,28141
5.34_449.36,,,,449.3615,5.338,33057,19151,29903,27548,12052,20472,36114,22566,28682,20426,22798,24042,22090,13646,24327,26094,22884,17913,14084,20100,30489,25107,37098,30282,27195,17232,22596,25282,21906,35496,30831,25775,24862,27150,18055,30476,31590,30044,31759,27274,22649,32694,31456,34435,32131,33755,24747,15627,26551,31464,45754,22392,22008,23455,4780,14218,3981,3746,4812,4548,4805,28481,27173,27032,27496,24947,27077,26392
5.37_864.57,,,,864.5741,5.371,41074,39526,40143,33866,21821,23148,22758,19655,35512,26399,29370,35335,29880,27461,35126,21582,24606,23266,23971,24271,19135,28268,25271,34819,31918,26440,17001,19394,31335,18302,25016,21126,31542,29669,25425,28687,24734,22727,17830,17714,19691,23964,29944,24720,18285,26022,27758,21879,22272,29374,19637,26911,18450,23166,11214,29397,40786,40240,4027,4122,3868,28334,28083,26804,26500,23077,21721,20477
7.32_702.61,,,,702.6086,7.319,31436,31429,26671,26524,31989,35186,33919,42362,30844,29338,30480,21326,36757,46919,40341,44231,27747,34194,31740,21855,21588,18293,21961,20538,19092,32686,37820,30820,24091,33160,23929,19513,20943,23076,30815,17927,18025,20405,20606,27893,21186,18062,24906,16048,31276,16163,23892,23996,17393,16616,27225,16524,21166,23856,349,277,99,121,104,9,9,23503,25981,27032,28350,27438,29222,28369
6.62_754.56,,,,754.5616,6.618,35081,28681,39762,26296,20893,30623,23616,25406,31057,29799,28454,38643,27803,17798,34842,25024,32027,22320,16195,21162,25731,31057,25617,26205,30020,19421,16906,19784,31885,20379,23235,31871,23838,27617,18841,27212,28714,23937,21320,17420,22385,24810,25041,30902,14100,28251,24824,16564,29720,32280,18805,34057,23186,21847,22352,119,12492,7388,3439,12441,6693,28952,26285,29147,25830,26881,27837,26575
4.94_760.51,,,,760.5145,4.944,30631,52383,41583,63872,21550,15494,14146,10500,58477,28801,61579,23397,17399,13802,21831,15553,27362,41412,17700,17875,11828,15768,20048,50579,68803,12424,12283,16853,23826,15103,28684,14455,56313,18784,15945,35363,58914,29374,14563,8283,27593,23179,15612,12241,11096,37499,10488,9059,31009,43484,11194,13219,22337,14823,260,107,282,302,931,967,581,48220,43316,22942,17513,14202,14815,11739
11.04_1054.89,,,,1054.8915,11.043,1571,36936,2683,7249,3542,61504,2664,2640,9012,855,2768,2669,8105,11785,1652,6447,1639,27086,7724,7209,2116,4927,7178,4080,84680,224409,24732,2058,26672,61547,43565,33890,14471,7590,23392,30553,6318,4151,1625,46377,7647,17024,62579,23777,5946,18185,218832,66734,46588,14359,48872,8736,30851,57605,1238,1301,1402,1371,8080,8893,8614,18344,23382,25061,25255,26600,27632,27333
2.27_279.23,,,,279.2336,2.265,44778,28484,24014,23330,32923,22083,28971,26481,31553,24991,30385,23990,29766,32716,22800,26179,21990,21804,38289,26844,17066,25542,19865,26527,21494,31036,28702,32577,16873,22799,27851,17316,28361,18912,29916,28390,28689,31225,31659,26228,37312,25507,19938,15899,30292,24956,26704,24041,23046,24582,21490,19279,30886,21384,46809,38884,39985,41441,43901,40440,40872,32067,28863,27355,28163,25103,25214,26269
8.53_996.73,,,,996.7345,8.531,21296,19637,22499,24616,21256,19877,14252,14003,25910,19083,19570,24152,16551,15046,20031,15081,18578,22575,21700,30837,29596,31259,38029,28938,35318,36684,23568,22762,34949,23053,26293,26466,34219,30853,25964,30372,29027,31168,34412,20626,30560,32650,25876,24715,18142,33232,27634,40897,31796,37769,23476,26508,28778,23837,704,1013,1209,1140,1351,837,844,27750,26670,25028,25690,24511,24460,25153
5.83_786.54,,,,786.5446,5.834,30966,40789,27960,35619,40478,29372,28676,43000,37607,36933,36038,35616,35325,42714,35502,27694,27043,31786,27438,20305,18872,20100,19912,30328,24006,25267,17614,35080,19536,20977,21005,21966,24473,23653,22045,22135,17540,22690,17263,20096,17901,16149,26142,19591,19056,15538,19494,26144,22508,25549,23892,22282,24715,25915,9,9,8,8,10,9,9,30541,26506,27622,27110,25424,26713,25406
7.35_702.62,,,,702.6157,7.346,31400,31429,25862,24827,31989,35186,33919,42362,30844,29338,30480,21223,36757,46919,40341,44231,27747,34115,31740,21855,21588,18293,20639,20538,18163,32686,37820,30820,24091,33160,23929,19513,20943,23076,30815,17927,16300,18479,20606,27893,21186,17162,24906,16048,31276,14967,23892,23996,16886,16194,27225,16524,21166,23856,10,151,8,121,104,103,179,23052,25981,27032,28350,27438,29222,28369
6.10_788.55,,,,788.5535,6.098,37405,38501,37253,39025,21665,34141,33846,24639,30109,30740,39484,28326,35382,24756,29214,27046,32617,30946,19669,18745,19902,18518,21607,28306,41477,19777,16407,17417,28017,18097,24601,25868,32218,23851,21632,29079,25502,31680,18910,16495,20142,21517,21878,19723,16270,28403,17636,16609,27110,29736,18309,21820,21888,20808,7,7,226,6,345,7,288,34341,27197,24669,21966,21698,20405,20789
5.12_972.60,,,,972.5955,5.124,17023,34639,17564,24644,26024,24618,16271,21376,18888,23839,29489,18288,25109,28446,20980,27525,19525,27499,46833,27909,20139,16445,25456,25266,23060,33564,31513,28296,23180,40490,22897,23368,23398,28978,40746,21011,18609,27667,25003,34919,29237,19281,29714,24984,32531,22457,26003,45761,27698,31333,36939,21090,40625,34359,1424,1931,1465,1521,1425,1362,1861,29725,28432,26975,25595,22721,24573,22886
5.94_699.51,,,,699.5129,5.937,38618,25587,40869,31249,18254,33910,30042,25749,34475,29348,30029,39474,29055,24824,42476,28796,37954,26693,12813,18614,19514,32299,23137,22439,21990,16867,15222,22047,28044,14649,20589,22075,21915,19925,15575,25114,31594,25831,24156,15908,22366,28420,29993,25710,12928,26819,28837,10099,25657,32123,15712,35688,14837,19589,8,533,399,7,8,8,805,25795,25813,26972,27681,27972,27947,26976
9.16_935.72,,,,935.7239,9.158,19900,41331,25319,29754,33357,25680,19794,17784,25679,28348,40297,19330,26593,22035,21159,22322,18048,34471,25497,23252,17278,20490,23076,23878,39193,22230,23491,28551,22035,38643,26852,16870,33071,20649,34790,27725,22673,33522,26824,28492,27445,23650,22332,17953,35988,29621,20314,24012,41073,32472,30542,15974,31954,24705,11199,9435,8969,9222,11250,12013,10662,48297,27201,23138,20736,23766,19141,22447
5.87_766.54,,,,766.5407,5.866,22783,33514,25144,25269,19632,41321,21907,20340,39338,38461,22882,34992,26871,13435,23022,20123,26927,20625,23380,25761,25697,33995,27781,28857,34963,26103,14304,27562,32010,14907,22890,22226,20109,25103,21553,29827,37393,25092,21052,13593,27134,26058,28693,29930,14103,26315,22600,21905,27266,28974,17085,33925,17169,25596,2346,3015,4331,3748,3588,3742,3748,28905,28505,27641,26877,25953,25841,25645
5.40_817.57,,,,817.5737,5.402,28880,27417,34793,23425,29959,25594,26383,34421,29520,31162,33522,33146,30516,44533,38673,26398,41590,27792,19335,20029,17791,18999,19371,34907,18211,16578,15268,28924,15835,24021,22586,18505,23593,24357,22137,23729,30572,25201,19614,18167,23296,23191,23802,23450,27807,21818,20080,18840,26773,26307,28493,32152,23175,22341,125865,138893,129996,146494,90153,112347,142100,21799,22990,24855,25160,22364,34392,23207
