,,,,,Label,S4.1 L,S4.2 L,S4.3 L,S4.4 L,S4.5 L,S4.6 L,SR.1 L,SR.2 L,SR.3 L,SR.4 L,SR.5 L,SR.6 L,S30.1 L,S30.2 L,S30.3 L,S30.4 L,S30.5 L,S30.6 L,PR.1 L,PR.2 L,PR.3 L,PR.4 L,PR.5 L,PR.6 L,P4..1 L,P4.2 L,P4.3 L,P4..4 L,P4..5 L,P4.6 L,P30.1 L,P30.2 L,P30.3 L,P30.4 L,P30.5 L,P30.6 L,TR.1 L,TR.2 L,TR.3 L,TR.4 L,TR.5 L,TR.6 L,T4.1 L,T4.2 L,T4.3 L,T4..4 L,T4..5 L,T4.6 L,T30.1 L,T30.2 L,T30.3 L,T30.4 L,T30.5 L,T30.6 L,Biorec001,Biorec002,Biorec003,Biorec004,Biorec005,Biorec006,Biorec007,PoolQC001,PoolQC002,PoolQC003,PoolQC004,PoolQC005,PoolQC006,PoolQC007
6.39_681.51,,,,681.5085,6.39,12872,13725,10372,10732,10327,9935,26028,21826,14368,10081,22237,11000,36649,14442,13101,15123,11690,12827,12964,12296,9701,16435,6199,10151,10024,14500,10356,35104,12001,13712,19222,13199,15503,23230,30549,19061,10630,12988,12645,20375,15707,16903,8215,19950,17845,10657,16481,9323,17477,17174,15841,22454,21803,21790,10934,5825,9982,7121,9687,9830,9398,22756,8975,10485,14189,19112,18724,17248
6.19_649.51,,,,649.5062,6.19,27694,16140,15804,18823,14544,15165,10547,7833,10718,11823,6365,14318,6735,5843,6700,16848,10464,7365,36602,18202,20279,13254,18798,23007,23633,17089,21912,7226,32853,10091,12351,10791,8002,10040,7218,14763,16080,6778,7381,13004,4657,6736,12728,8807,22581,11593,9970,43575,11270,15448,14484,13338,7819,8278,1358,10,459,1583,1375,1431,1456,13705,18381,15496,14186,14845,13238,13093
1.77_478.29,,,,478.2944,1.772,13438,12766,17684,16073,8748,17033,11665,13322,7125,24091,12027,10010,13111,3867,10113,7420,5770,9419,22014,20812,26724,10634,45435,16141,7851,10805,17623,18499,18915,13965,8453,10730,5614,7337,7429,10255,11846,16791,14160,20953,10158,12257,24651,16853,31282,21250,17676,27070,4786,15812,10230,7622,6119,3361,10939,10228,10852,9517,10449,10491,10433,14080,17363,14778,14313,14247,14138,13218
7.81_759.62,,,,759.6163,7.81,33363,25193,25099,25820,15771,28628,59213,31837,39246,17048,25647,15708,82522,16165,31964,36513,22006,15219,8426,6052,5896,9591,9455,7334,6596,9037,11155,23587,8458,9207,16718,13159,10157,18182,23254,15205,6977,7006,7160,10141,7541,8008,5452,10793,8086,6982,8427,7191,12223,11897,11488,15050,11283,15905,5970,3773,6902,5170,6465,7304,7150,21758,14452,16386,18250,20987,17614,17161
1.68_301.16,,,,301.161,1.681,17627,11652,27299,13063,10017,14822,26223,14325,17644,7463,10612,7263,39033,8841,18949,16576,10536,7215,6903,6422,6137,9504,7586,9841,9285,7552,7123,56600,22023,48637,15474,17856,12571,16656,70451,40146,12740,16975,20325,14032,16028,14693,13565,17881,10888,15670,15924,17382,15544,14310,11417,14639,15703,16476,2074,1681,3732,1970,1968,1864,2282,13652,16693,14927,15071,14148,12510,13055
4.64_874.56,,,,874.5608,4.643,13951,10918,16713,14145,13963,14189,26507,18922,11818,19192,19390,14575,27181,13829,23189,20064,17165,10217,9137,9983,10777,11873,8219,13986,9960,10996,8170,31156,9745,13415,12319,11662,12532,14412,11753,15430,19827,18587,17508,15488,18235,16355,11832,15372,19511,17519,16681,10854,19323,14750,15851,20184,15839,17632,504,388,573,465,340,568,410,15426,12588,15152,14491,15347,15869,14948
5.59_830.53,,,,830.5334,5.587,11793,12299,13886,13238,19511,10330,27709,23100,22862,12625,15682,15095,43090,9001,14096,13803,14337,10579,7795,7076,6793,15240,2503,20065,10283,12520,7633,74554,6532,6288,20103,15449,17502,12059,25671,23320,15309,16205,14375,19264,14308,15312,12359,19621,18253,14849,14470,17043,17481,19084,17825,18296,18463,19251,3471,103,1880,97,1282,1299,1817,16591,8622,13913,14250,17351,16467,16042
5.65_878.61,,,,878.6051,5.652,26644,17249,14009,11147,9354,10333,22249,12027,9243,12687,26642,8094,41323,12304,19438,24509,17025,25939,10110,17174,8691,9477,6103,8152,8174,13956,909,15885,10946,13596,18183,12534,15524,16384,14045,11423,16214,17407,16556,25781,9,15871,9,17153,15370,1059,10,10809,24222,17176,23583,18076,33584,26620,2294,2900,2722,2116,2658,2867,2677,12275,10302,12008,12379,16877,19400,20671
6.03_764.57,,,,764.5657,6.03,8375,10999,5812,8750,14049,13047,9030,14433,16718,13027,11067,19458,9682,12089,7399,7256,10579,7193,23587,21913,13318,30938,9907,14864,14807,16926,14013,22238,18195,25101,23026,16121,15834,20235,23192,21037,7534,8626,10443,20193,12400,17974,7278,16688,12989,10433,12443,10003,14814,10939,12906,15519,18887,14649,3454,1281,1429,1875,2813,3586,3404,19205,9726,11289,13188,17415,19868,19041
8.23_779.60,,,,779.5966,8.234,18110,12767,18390,12580,9281,16833,28619,15116,24792,10656,13741,9634,31790,10903,16915,21323,13778,8190,9941,8626,10362,17005,11780,15309,13576,11398,13729,45642,14038,12943,13872,17008,16052,16784,31449,31054,13162,16794,19138,16020,15943,14679,14564,17895,12070,15826,16740,18534,13940,15128,11352,15964,16254,15510,4001,3087,6080,3319,3541,3369,3296,16259,17108,16474,16389,16140,14577,14192
7.76_717.57,,,,717.5717,7.764,28445,21528,22766,22467,18666,24727,51857,26880,32029,14048,22433,12943,67607,13340,31467,31027,18648,12170,9397,6390,6057,10947,7244,8931,7687,9722,9157,30224,9783,10403,16237,15231,14256,18354,27081,17912,9848,9687,9742,13013,10291,10064,6910,14471,9806,9066,9937,8399,13635,14705,10734,17020,13634,17832,4444,2591,5223,3285,4152,3707,3959,21067,16276,20488,19863,21159,19317,20888
4.21_606.32,,,,606.3242,4.208,18454,15761,13695,13996,10138,14029,46515,23108,17997,8691,17751,7392,76094,10391,19028,20847,10645,8633,10624,9919,9207,19302,7682,12323,9691,12938,13014,70259,11515,12115,15658,14500,13912,20916,43876,28571,8374,15346,15520,16761,14459,16038,9712,19467,14616,11685,14658,11725,12014,15223,10242,17293,17498,14108,7203,2234,6483,3962,5967,6650,6179,18437,11308,12751,12969,15826,15735,14629
5.62_905.62,,,,905.6222,5.62,7068,22043,13806,12707,22828,11313,32307,19544,14699,26006,17351,16118,14337,22881,18048,21612,18665,26544,6566,7928,5535,5535,3617,6123,4849,8440,3708,12427,5995,8169,14363,10752,13677,15645,14932,8687,17103,13829,12519,21289,14829,14681,8005,15887,14032,10118,12021,7920,23555,15999,22117,17741,24198,26911,1064,705,1578,611,900,1173,1562,15438,9392,11666,13410,16352,18625,18737
7.13_857.67,,,,857.6747,7.132,9624,19439,14112,10341,16049,12266,21121,21183,14589,19819,12618,17624,18716,16800,22807,18609,13840,20706,6771,6438,5939,7044,4219,7116,7900,10295,4756,18736,9391,9242,17618,18334,16926,16621,18746,16426,15097,16787,14005,18515,15919,15734,11830,19370,14727,13652,12726,12204,25247,17965,18251,18280,20650,24378,13676,8341,10681,11885,13796,14389,14338,14712,11927,12728,14466,15329,16245,16101
4.25_351.33,,,,351.3273,4.253,19038,19459,24339,13307,13510,19188,14883,13232,20108,21519,14562,19363,9341,11048,13109,12145,14968,14795,16403,16098,20316,18431,23019,21075,19587,12638,18094,12321,21403,15384,10496,10533,16513,9447,9056,9104,18087,8394,12030,7673,8698,9479,28348,8282,9928,9429,10498,17727,6032,11407,8789,8170,7997,6342,1552,1465,1563,1354,1592,1514,1464,13363,19079,16210,13721,13871,13461,13667
5.19_846.52,,,,846.5161,5.192,18798,18598,14418,16665,12979,16616,33929,23781,21879,13074,18986,10823,33585,12519,21722,21200,13036,10264,9843,10284,9951,18077,7647,15734,11592,12467,11066,43025,11811,12756,14166,16220,14551,15701,26334,20641,11959,15617,15499,17855,14593,14214,11180,16321,13661,13671,14688,13476,13943,12753,10974,14664,15533,13060,151,10,18,9,126,8,287,16266,12989,14460,14650,15595,16130,16488
7.26_631.49,,,,631.4915,7.256,10418,9842,7421,11104,7471,4306,6003,5679,4616,8185,4607,8323,4476,6749,3364,10837,4546,9051,23227,23447,17689,9919,17094,11504,14694,18932,23923,9726,23578,17605,13075,8815,9401,12188,12057,8824,17255,15421,11953,25599,10282,20706,20840,18357,30183,17127,17954,27991,11908,23009,21754,16618,12631,11474,8219,2891,3379,4702,7576,8507,8628,18010,13516,13997,14258,18170,19475,19703
5.95_821.57,,,,821.5703,5.953,13438,13277,13863,19141,18025,15957,15473,15524,18791,10583,10970,8207,11455,11516,12511,15105,13388,9694,8791,7103,8940,12101,9258,12730,12078,10549,10636,20684,13134,12889,14000,19161,16089,12700,19193,38833,16051,22573,22629,15372,24207,14239,17250,19926,11939,21804,22236,20479,19733,17065,11872,16581,16723,16915,8578,12200,10238,11258,8332,9262,6493,13033,21972,17100,16202,13933,12579,12401
5.14_735.52,,,,735.5194,5.14,13287,14451,6946,10583,12344,2334,18402,19017,3419,12810,16220,16630,18846,16282,3607,16910,10521,15411,13187,12563,10632,15685,988,9649,7303,15090,6776,6967,14046,18344,31332,5093,16618,20541,22287,8479,14903,15569,15187,21283,17854,22046,6009,21733,15692,13260,17384,3426,19747,17934,19663,18400,21137,19908,1075,319,1405,110,142,589,111,15314,2436,12418,15191,18431,19523,19139
5.08_847.57,,,,847.5728,5.076,11364,11231,11818,12882,11337,11972,4505,11248,11732,11478,10625,10883,9697,13184,14188,18739,17541,11980,10077,10272,11116,10970,11025,10207,12787,11719,13364,19193,14877,13220,11338,14557,14039,12989,10809,3260,19299,31155,19874,21026,31341,24672,17577,26527,14086,24019,26948,12270,13781,13892,12096,10930,15589,13283,1060,11,339,1127,896,1282,1150,13401,13910,14846,14437,14791,13877,12810
5.72_878.60,,,,878.6045,5.717,32723,25033,32939,21374,31956,25320,43074,25746,18192,24707,26642,13098,63153,17344,36531,50098,47961,40048,6,11572,6,9,13571,9,8,6,9,25502,8,8,15947,11,10,28488,16,5419,8,6025,11,9,9,8,9,17170,14620,9,10,11,18444,26815,21602,21214,23876,20995,4471,2102,2978,2086,3172,3295,3353,20485,7465,14344,15546,16760,24965,22491
4.62_492.36,,,,492.3619,4.623,21208,14556,16738,18583,14963,15664,31835,18656,22807,10728,14175,8898,38717,9152,24816,21164,14064,8187,8757,8088,10577,17070,9175,13931,12567,10319,14001,34749,12814,12537,13109,16018,15612,17978,20999,21390,13612,17053,18382,14399,16790,13296,13046,18639,10705,15735,16002,15465,15675,14533,9915,15220,15283,13863,3199,1648,3970,2639,2655,2870,2748,15481,15567,15284,14788,14833,13198,12418
2.74_445.26,,,,445.2557,2.74,12625,14467,10457,12178,6377,5893,13239,10918,6128,13597,10961,12575,16933,12051,7641,12469,7290,13571,26792,34363,24177,11721,11073,9057,9405,21115,20107,16020,21199,17782,11091,8121,10225,13544,15467,6593,14516,9733,9420,14415,7762,12851,16656,10179,23252,10226,14808,14327,7541,20810,18286,10692,11287,8616,11137,2604,5485,6878,8731,9630,10235,21727,8446,11199,13374,17275,18839,20688
6.12_806.59,,,,806.592,6.125,12759,14384,15360,14271,13175,24113,20930,23386,22793,13486,12167,13572,13300,15210,15815,14477,14799,8243,9455,7142,7509,10633,4298,11331,11313,12239,7192,20242,12222,12718,14947,14534,10503,11132,14795,25425,14478,17042,19080,14087,20922,15516,14050,17941,10467,17674,16579,14618,23452,17330,15104,25118,16697,20864,2232,2565,1468,2039,1950,2176,2542,13432,16309,15148,14971,13844,14091,13438
6.00_749.54,,,,749.5363,5.996,30709,32867,31271,13408,12941,20836,12561,13347,11973,26577,8559,13404,27327,10889,20920,17389,23768,14542,14760,10525,13571,9588,11929,10651,16330,12993,12474,12928,13309,10147,10904,10908,8620,10391,9789,13197,13394,10141,11315,11111,10080,11562,13315,13562,13763,11669,10111,20004,13361,10780,13693,13232,10606,14942,5868,2169,3076,2976,4771,5497,5545,13232,17485,14947,13401,13236,12474,13383
6.34_831.63,,,,831.6265,6.339,16,12,4949,7117,16564,7678,28,15,8275,1318,6090,1631,36,12251,1198,9440,8249,14084,8688,10746,13097,7549,11262,7115,9748,10166,12275,42,15293,13094,13110,19249,17601,18161,15606,18789,19948,34173,26490,22616,32898,28367,20617,28694,19658,28612,27305,21022,16171,24986,17400,13147,24960,20542,2489,2227,4204,2789,2510,4063,3195,14958,18324,16668,16184,14943,14696,14032
8.16_646.62,,,,646.6163,8.16,20163,20342,22538,16586,13387,15795,12713,10852,16426,43342,13322,25082,7270,17548,19329,26197,13379,12906,16355,9744,11623,14127,19308,14660,15084,16426,15263,9397,10936,12198,19242,19889,14261,13627,12101,20534,7749,9245,8737,6893,8837,7127,7129,8322,7864,9413,8743,9596,11799,9703,9616,9048,9283,10614,6876,6202,5591,6186,6658,7207,7508,12804,15668,14652,14153,13517,12120,11169
8.90_650.65,,,,650.6468,8.902,11025,15324,21176,19421,8176,12934,16014,5563,6495,13812,6183,9829,10907,14008,15030,16943,21220,5099,7901,4486,4610,8560,9642,13527,10829,12379,5202,9540,4921,5002,13217,16685,6370,10887,9447,19206,14483,12671,14026,18477,11735,13339,8009,17034,20382,20529,17590,20135,44343,32961,31327,29173,21122,24866,2744,2758,2608,3325,2918,2783,2761,12877,18783,15913,16018,14408,13720,13986
7.75_672.57,,,,672.5719,7.748,6680,13354,7873,6003,5220,4218,11303,11292,7430,20093,14033,17077,12167,13373,6104,9575,5165,13137,20908,22504,19502,24329,14499,20235,20341,24942,22773,26229,17270,25336,20740,19437,13869,21187,22119,20075,8060,9525,9795,11616,10103,10920,6043,8677,9888,8860,10038,8235,9114,8121,13633,10609,12789,11664,2067,1220,1683,1860,2115,2425,2082,12848,9940,10559,10456,12446,13989,14004
4.68_508.38,,,,508.3778,4.676,17422,14824,17088,17216,13148,19136,29674,17344,21504,10856,15662,9329,33523,10077,22337,23505,14646,8556,8217,7791,9751,16149,10307,13450,12138,10444,13259,26778,13902,13056,14654,15896,15581,15686,19506,22234,12784,16373,18313,14480,16826,13749,14318,15790,11007,15732,16727,16102,14561,13548,10214,14746,14584,13953,4371,3663,7138,3664,3999,2353,3779,14656,16353,15138,15006,14217,12899,12815
6.62_882.67,,,,882.6682,6.621,15605,10702,9602,10950,15993,13340,16273,8604,19719,9077,10712,8807,21161,6852,11510,7532,13007,9038,11558,12491,9564,15134,13213,17241,15830,16026,11236,20758,25217,19100,17848,21547,14885,24606,20254,27144,20810,13188,11440,13262,16413,8786,16172,18052,16293,13773,13934,17653,17246,9200,11757,13193,13610,14459,548,304,561,415,461,382,10,14555,15403,16587,12277,13886,19219,16484
8.64_737.64,,,,737.6448,8.64,4623,20808,9716,10346,16838,11732,17208,20145,11461,15011,23147,13471,14244,31242,15869,15,8385,31005,14125,24712,11908,10041,503,8080,8700,25551,364,21152,7418,11869,23989,22136,15573,24630,31303,15902,5618,9444,6784,13750,6872,8789,4790,10983,9240,7342,5960,5214,13870,9792,17244,14715,11905,18195,443,154,274,500,143,775,811,19090,8154,10650,10868,16344,20157,19539
11.05_1053.89,,,,1053.887,11.054,8505,50267,7846,4627,357,1580,92379,4551,27016,567,4395,483,273686,950,2571,18804,243,488,254,730,199,21243,2060,453,451,1514,1012,82756,330688,7678,2706,6146,10027,15104,20040,8071,1034,2173,10911,2066,1690,3384,3690,6386,1572,1106,3376,5900,1427,1149,1580,2081,1755,1563,2062,1098,3245,1488,1852,1927,2170,16074,10627,10521,11257,15052,15949,15987
6.15_613.50,,,,613.498,6.152,9312,8944,12141,14393,4692,7458,16724,23981,8502,8175,13224,4327,8812,13756,7547,7247,4190,11785,27694,31163,27633,33292,25509,31358,18288,36650,33591,25538,15493,21418,11533,8148,7092,13615,13832,10321,4831,12254,8205,8990,8367,12117,6539,7948,11528,7616,8637,4516,5321,6980,7704,7326,7082,4399,116,140,18,9,9,8,115,20030,11281,12719,13441,17995,21451,20307
8.03_704.63,,,,704.6273,8.031,15434,12445,14844,14736,10225,13828,8504,14958,12788,16189,33462,12045,9663,27211,14299,14423,12392,26302,11230,22688,11212,18815,13935,12796,8881,18568,14007,15827,12564,13034,21982,19105,12479,20825,24873,14340,5666,6421,6635,11576,5813,6807,4225,5945,12106,7103,6286,5601,8742,9076,16664,15401,5871,13641,2623,347,224,1025,1300,2344,2501,11959,10190,12530,12599,13213,21560,23072
6.70_826.56,,,,826.5596,6.698,14008,10453,14941,10663,36376,13647,12165,11723,12307,6631,10804,8811,13752,13803,13522,16534,16038,21958,12114,15870,12956,10294,10414,6169,10814,11560,13692,2438,14898,12953,10245,12509,11006,13581,13682,13719,11475,18939,17321,22237,15813,16723,12886,17942,14968,18865,18753,14227,13216,12178,11612,10014,13623,15175,25,2072,921,2118,705,26,725,12996,14517,14025,13630,14043,14720,15177
8.78_849.64,,,,849.6359,8.783,22681,15859,15600,16053,14420,15117,38694,21643,17982,15191,13432,15550,47235,10036,21231,25280,13913,8340,9876,7212,8744,14033,11199,14118,11207,9595,17612,24405,12567,10424,15045,14226,13679,15281,20386,19608,11058,11495,14770,15108,13827,11084,8940,14150,11768,12627,15302,15674,12793,13591,10054,14357,13160,14714,6714,4053,8650,5693,5914,5653,5413,15273,14268,15111,15110,14813,14108,13583
4.01_913.58,,,,913.5833,4.012,23591,33448,19790,26045,5011,14030,82546,31568,27552,12653,37786,9699,129652,14783,24985,44702,6281,7388,5371,7587,5008,24285,7690,6061,4443,14145,6146,33324,20105,17658,16738,8267,9621,25983,29370,9643,3331,4768,14605,10949,5660,9421,6060,14185,9528,4491,10571,11348,4402,5340,5575,6377,5152,5857,5816,2453,7957,3881,5600,6615,6596,19106,7391,10283,11370,16238,20861,19473
4.71_892.49,,,,892.488,4.714,17730,16165,19533,16672,16929,21080,28629,18094,23568,10235,11217,6624,32257,8508,24277,22097,15838,7484,6218,7088,7878,13260,13232,12730,13896,8110,11024,21580,12051,7804,10069,17993,18946,14640,22399,44414,10983,16218,17846,12562,16598,11083,14626,17039,8680,15171,13505,22800,16986,15731,10272,14665,16146,12867,114,241,187,118,133,71,86,13003,23026,16379,14822,13220,11610,11067
6.04_681.51,,,,681.5109,6.04,16037,15993,11291,11770,8969,12085,47783,26862,16774,11434,19945,8433,69761,9577,19230,19913,8876,8668,8953,8790,7893,17729,6444,10147,7338,10683,9581,70109,8348,10102,16256,11589,13704,21357,48684,22998,8095,11398,11081,18806,12226,15212,7927,18381,13210,8919,12623,10670,13395,15301,11885,18591,17913,15452,12642,1541,12624,11758,10904,13003,11929,18547,10613,10055,11510,16887,17694,16588
6.77_820.61,,,,820.6112,6.771,9066,5576,4426,2704,9170,19380,192,3386,21094,56,21805,4889,243,19566,2447,116,20416,22515,14641,20065,13801,23714,10112,19687,19148,16214,15572,6751,24202,19773,25477,23229,20845,30877,27835,25732,8755,911,12474,10873,12544,12291,7936,2665,8264,11094,12041,11090,8093,4643,15995,23052,17992,10206,64,85,154,80,76,68,67,17220,13574,13521,14670,17296,18528,17072
7.87_631.51,,,,631.5079,7.873,7767,5003,4789,5193,3491,3612,11460,6189,5702,4433,4290,14241,22833,7390,8731,11902,3364,11676,20441,20655,11970,5547,10121,4831,7236,27340,25492,37995,21567,8419,9746,10626,4697,6648,10417,9012,9010,21319,12966,18035,5289,9064,13744,11307,27985,24040,38797,37922,5897,35189,31997,16384,8412,13772,4371,2331,4844,3390,4655,5405,5243,16284,11065,12026,12666,15817,18078,17405
4.42_788.52,,,,788.5244,4.415,15384,10968,14526,14283,15783,16246,14648,13283,20103,9293,15300,10408,19310,9359,19728,11849,9684,7938,11259,8473,11271,17264,9845,17592,13270,9723,9374,20820,12510,14526,10859,15631,13163,14184,15979,20749,18688,17657,21148,18714,16610,14271,14348,14107,12797,18109,16154,17439,16594,14330,11733,17503,14399,14183,2436,2446,2031,2366,2243,2618,2345,13164,16525,14726,14477,13720,13377,12389
4.43_941.49,,,,941.4932,4.433,26737,12311,17703,15511,6884,16977,27356,11565,20025,5786,9134,4499,29908,5993,17330,14316,14306,4651,8650,8456,10929,15010,17652,13775,13580,8809,18993,31686,15095,11188,14113,18888,21769,18011,27545,47228,10528,16622,16729,10462,18097,11641,14436,15695,11909,15818,15827,19492,14085,16869,9727,13945,14032,12989,5,7,220,7,6,6,6,13170,21565,16136,15516,13068,11274,10682
5.85_775.55,,,,775.5488,5.853,4047,4837,4588,7191,10842,6141,5523,8944,21543,3858,8251,13079,5689,5477,2489,4440,4959,4962,11563,10438,10583,24866,13656,17512,18731,12575,20488,26039,35773,18502,9156,18197,18585,8297,19863,10586,14491,36757,32621,22454,40807,19351,21737,17201,11362,13653,18111,20847,7631,8353,8813,8575,12573,8332,2100,600,579,1531,1513,2070,1977,11449,7078,23932,10618,12332,9986,10180
5.16_838.55,,,,838.5527,5.157,6833,11141,8566,13075,13803,10903,7530,10443,16570,9859,9914,13069,8196,11395,8739,8664,11997,12541,11553,11761,10831,13618,9626,12063,16999,12660,9031,12599,13781,10436,8926,14387,16293,14029,13452,16199,19452,18008,19772,14951,23492,16004,14386,18336,10564,24649,13721,14707,21607,18235,12308,16117,16879,20357,325,35,144,3,3,3,342,14205,12789,14987,12442,13299,11839,10044
6.03_750.54,,,,750.5447,6.029,16887,16770,16930,9124,20706,11255,6725,7844,9765,9659,6293,10618,10158,6125,10828,9854,12928,8219,15448,13981,10227,12899,8643,12707,14979,14386,11129,16280,14282,17025,14424,12109,17516,15122,16215,13753,12841,12844,15295,24743,14948,27038,11385,19572,21374,19918,14454,15380,13614,10359,13717,9960,16988,12815,11324,2837,3462,4444,8280,10789,11249,13985,11709,11739,11737,13664,15023,15179
8.71_760.62,,,,760.6209,8.706,29300,17157,12665,16418,13347,11487,21750,13304,14754,14418,14592,12358,38092,11555,21590,34201,12850,9797,12932,8228,8606,13322,11473,11170,8704,10466,21319,23923,11703,9122,18807,11936,10815,17751,23916,13313,9106,10541,10418,17827,9721,10232,5990,15043,13116,11047,14565,12057,12737,14957,11773,16140,12687,17214,10241,5386,9146,6645,7854,6899,7464,17239,9857,13335,13906,15555,15532,15073
4.76_449.31,,,,449.3132,4.76,30514,16335,21093,17883,11497,21469,48894,18454,29682,8501,14273,4637,69247,4283,30645,24809,14258,2800,8073,3900,8361,18658,9053,16020,11542,8834,16545,67752,9991,9107,11036,14956,14327,14646,34319,38890,11398,16944,16491,8936,13133,8040,13576,15352,6758,15423,13475,19477,10204,11383,5211,11914,10766,11265,9198,3017,6951,6481,7277,7076,7224,13884,16092,14354,12899,12755,8491,7935
6.45_780.57,,,,780.5671,6.448,9301,15260,10801,13332,8608,12503,20935,15113,23861,10167,28639,8456,49590,12423,14833,23612,12451,16319,8547,8262,7345,20115,6714,18475,9239,8924,8298,39976,12340,13430,16446,26044,18522,23843,19013,15317,10498,10574,10261,11841,9816,13745,9650,9760,9565,15569,19050,11106,8095,9250,8626,9339,26473,15000,4681,432,1740,2210,4695,5070,4464,18520,12275,10880,9840,9107,18718,14049
5.10_820.55,,,,820.5508,5.104,7458,14679,7147,11075,12667,7139,10665,18796,6962,12369,12053,20601,9647,16876,7728,18882,11523,23891,13273,11914,9780,13094,5159,13144,10789,15397,7738,12848,14755,15566,12977,13430,13239,14071,11440,7722,12807,14510,12125,16692,17465,17354,10505,14576,13980,11899,13143,7999,17889,12952,11527,14100,17118,17557,2164,345,2952,1853,2419,2035,1743,11510,6082,12071,13927,15433,15836,16539
6.09_820.63,,,,820.6328,6.094,12042,14803,11720,10989,13500,16086,22744,17719,19474,10356,14516,9217,19731,9904,19292,18061,12144,8877,9696,8848,10498,16926,9680,13403,11600,11102,13973,27571,13016,13063,13583,15912,15361,16438,28342,21277,11805,15939,16310,15203,15061,13410,12291,16513,11944,13902,15240,14142,13717,13063,10215,15098,14774,14073,5170,2753,5294,3881,4500,4673,4857,15235,13647,14252,14420,14229,14131,13841
0.80_489.13,,,,489.1252,0.798,4728,9268,3824,2783,2731,864,38060,29432,3302,7314,7898,11631,42840,10241,5765,10883,1516,8665,6816,4257,2873,7002,528,2843,1003,7527,4017,136987,13339,30405,52249,20188,14481,26915,41171,8692,7161,12946,6203,17341,14550,36488,3337,28539,31698,7891,12378,1510,11589,13163,16833,15531,27229,17639,5552,741,2724,9204,7400,7879,6569,14845,1215,5156,8672,23364,25550,21631
8.22_718.57,,,,718.5728,8.224,15549,11086,14972,10190,7732,12627,27317,15428,17392,11309,14329,9612,32988,10953,14886,19201,10694,6410,9028,8722,8703,17060,6852,13318,12265,11258,12489,44267,12698,12991,13996,16997,15555,16652,31832,29428,11149,14506,15488,15663,14757,13737,10849,17478,12384,14262,15713,13905,13786,13144,10901,15048,16334,14572,3636,2300,4381,2470,3158,3189,3445,16547,12965,14490,14844,16147,14728,14861
5.10_1672.13,,,,1672.1345,5.1,27898,14722,6847,7468,20834,5971,11521,2075,6803,2633,24195,8980,111672,12449,18332,14081,11613,4439,8404,5865,6777,5489,4141,23723,27458,2827,6973,32790,12283,12911,8511,24898,4040,9238,7998,24354,11333,12448,14915,24436,31421,51739,9696,11082,10418,19484,4306,5193,16224,23907,11882,15913,9247,2496,1110,690,833,306,459,1096,174,16615,6226,35549,22181,11974,21761,16368
4.84_787.51,,,,787.5128,4.845,12598,14379,10192,10644,10682,9800,16432,18776,10829,13049,19857,23319,20474,14154,14449,12117,9864,15392,10797,12165,9258,11457,4223,10425,6548,12599,5599,16342,6776,13043,15769,10830,12188,13618,14703,10521,14234,11870,10731,25395,12114,16776,7350,14268,18113,10762,13487,8203,17578,12358,21015,17598,17340,16022,1228,644,435,1163,511,1046,908,14675,7798,9911,11860,16945,21149,23294
4.81_913.55,,,,913.5517,4.808,14655,19558,16865,21200,17856,19466,22,12,12686,14873,3366,6,3043,12344,17169,27452,23510,5,11524,5,14620,14937,13963,16905,18621,13619,13832,33,24768,19438,16954,25359,26115,8282,4800,25456,13350,18088,17548,9,21030,9,10826,13867,11568,20360,15077,12639,28551,15792,9976,9,28908,6282,7,348,496,187,237,148,155,6739,18767,18702,21367,15979,8,8
2.74_377.24,,,,377.2381,2.739,11472,12483,10412,12081,5365,6043,11827,11184,5730,11789,10562,11229,11536,12177,7258,10772,7338,14240,23687,30505,19172,9329,13662,8337,10623,19130,18057,15673,18883,15407,10536,7649,9364,12765,12414,6964,14195,9120,8880,16109,6479,13665,17901,9401,23610,9740,12846,16192,6337,16235,19155,10601,9597,7484,9416,3947,4714,5300,7905,10250,10034,18578,10125,11582,11774,16992,20625,21647
5.81_533.41,,,,533.4109,5.808,10738,24294,16631,20878,12698,18802,33677,25138,25836,5784,9866,3658,22799,9742,22973,16599,14932,10975,16568,7352,12125,16336,12917,5231,6522,14037,17844,48895,8635,5267,13136,14519,15202,11277,22159,18745,8451,12188,9408,10617,24875,11796,17320,16926,12267,19010,13032,14784,8473,9523,11762,7690,15173,8007,6280,7813,9563,8397,5608,6569,8233,16583,14344,8737,15471,14955,12980,9592
5.94_847.61,,,,847.6146,5.94,9193,10803,10263,14812,19174,10956,12280,13350,14225,9163,9810,7799,3875,12681,8580,10668,10800,11095,9516,8320,9187,9081,6745,10756,10656,11624,8764,17943,11791,13034,13145,17090,13282,12350,16603,20902,14665,20941,19713,16342,21323,15364,14063,19842,12773,21270,21718,14515,18958,15700,13682,16691,17019,18028,2848,3697,5530,4610,3674,4331,2876,12513,15440,14392,13815,13408,12807,13238
8.14_759.62,,,,759.618,8.141,21826,14390,13327,14743,9291,11560,23062,15735,15922,14504,16338,13017,33796,12561,14976,31658,10452,10138,9745,7011,6604,12929,10613,9944,7229,9685,16260,24146,9689,9941,15458,11113,10070,16656,24308,14323,6562,7998,7821,13549,8347,8667,5559,11221,10002,8436,10540,8696,27328,27345,9634,30770,12320,29336,6824,4108,8508,5194,6303,6349,6309,16609,8892,12232,11423,12342,15110,15689
