,,,,,Label,S4.1 M,S4.2 M,S4.3 M,S4.4 M,S4.5 M,S4.6 M,SR.1 M,SR.2 M,SR.3 M,SR.4 M,SR.5 M,SR.6 M,S30.1 M,S30.2  M,S30.3 M,S30.4 M,S30.5 M,S30.6 M,PR.1 M,PR.2 M,PR.3 M,PR.4 M,PR.5 M,PR.6 M,P4.1 M,P4.2 M,P4.3 M,P4.4 M,P4.5 M,P4.6 M,P30.1 M,P30.2  M,P30.3 M,P30.4 M,P30.5 M,P30.6 M,TR.1 M,TR.2 M,TR.3 M,TR.4 M,TR.5 M,TR.6 M,T4.1 M,T4.2 M,T4.3 M,T4.4 M,T4.5 M,T4.6 M,T30.1 M,T30.2  M,T30.3 M,T30.4 M,T30.5 M,T30.6 M,Biorec001,Biorec002,Biorec003,Biorec004,Biorec005,Biorec006,Biorec007,PoolQC001,PoolQC002,PoolQC003,PoolQC004,PoolQC005,PoolQC006,PoolQC007
5.94_847.61,,,,847.6146,5.94,7874,7831,8131,9799,10718,8434,8177,8546,9050,9410,8406,9763,13224,8328,7569,8842,10035,8744,11881,12416,12223,10448,11348,9120,14562,12895,11757,9715,14328,10763,10788,10156,10509,13173,10996,8863,9400,12481,11887,12274,9663,13517,10180,11435,10611,12952,12755,11118,11085,10922,10455,9339,10430,9405,5094,6821,3861,5647,4417,4964,5187,11567,11717,11185,10276,10696,10199,10248
8.45_670.58,,,,670.5823,8.454,7279,6014,5572,804,7773,1813,3445,5981,3731,4636,6444,5913,3545,8586,13030,9252,2838,4818,7379,10253,7692,4002,3739,3925,6179,5477,6498,49930,9989,6269,8045,35654,5126,4512,7682,3304,7476,7771,9890,5252,4041,6305,8486,9445,5870,5007,13537,36645,4360,8716,8978,75461,6535,32790,8266,62182,6856,30689,10514,8459,6502,9369,10162,5513,10556,4867,6526,6393
6.08_449.31,,,,449.3127,6.081,7330,5869,8760,10769,8437,8030,10039,8286,7566,10323,10343,9183,18545,7336,8696,9879,13590,8304,10164,11397,12069,10774,9661,11310,12120,13825,12072,7980,11935,10420,12569,9705,12574,12903,10776,9053,9956,12494,10899,11785,9824,14442,11475,10689,11387,12194,11764,10671,11424,15747,10470,10339,12215,10110,9944,8928,9031,9197,10413,10205,9738,12629,11178,11127,9823,10174,9549,9876
5.95_912.62,,,,912.6233,5.946,11739,3925,8846,5396,4599,13695,10732,3864,12667,3266,7038,4773,12720,3369,3710,8654,12298,6183,20421,21727,20139,21179,13815,15362,20463,21819,16269,7467,20594,3819,5723,12760,11949,14541,15807,11769,3740,10878,9465,7627,9422,3617,9811,4747,4526,12917,7479,12861,18110,6117,10263,10082,10491,9379,9,8,9,9,11,11,11,13453,5917,13558,9353,6052,4782,13125
5.76_767.54,,,,767.5435,5.764,11021,13119,11086,12108,12062,10430,6860,11623,13994,14369,9652,12946,1806,21165,11006,8066,5672,14954,7806,7192,11052,9461,11287,8873,7895,7882,8207,8471,11199,10031,5686,9328,10102,8308,11564,8651,7807,7883,6904,8579,12883,7946,7184,8385,8766,9434,8041,8349,9095,9406,9863,8451,10398,9675,9,8,9,9,11,11,11,9668,9922,10345,9946,11301,10079,10328
6.36_730.54,,,,730.5424,6.359,10386,12090,10511,12224,11696,12427,10492,11606,12084,12197,11915,10648,17347,9523,12146,10042,12848,11786,7988,7011,11240,6695,5464,12330,6615,12411,9337,12365,7770,8382,7059,10652,10852,10199,11590,9930,7502,9545,7901,10405,12546,8272,8301,8789,9122,9687,9849,8627,10700,11548,9371,9283,10606,9442,664,742,456,702,991,598,1098,11010,10860,10537,10065,10100,10260,10170
5.20_776.54,,,,776.5401,5.195,7006,7826,7754,10011,10859,8966,7234,9312,9428,9869,8270,11060,11899,8887,7354,7649,8854,7369,10524,11509,12669,9520,9467,8562,11687,13742,12556,11300,11589,9820,9648,9446,11477,9037,10024,9124,11260,13584,11918,12221,12052,11614,12382,13863,9929,12207,12040,11552,12170,10243,11024,10301,8987,10306,2527,2534,2539,2261,2520,2144,2319,11454,11023,11753,10604,10345,10299,10167
5.80_751.55,,,,751.5482,5.802,6739,9264,6685,10801,8920,6230,5944,6954,9149,7699,6427,13266,6877,6906,7458,7292,5897,9751,8307,10487,18529,6351,11075,14294,7545,8422,10919,15399,8160,8842,7394,10452,18782,19686,34967,16605,7243,9698,6934,8887,13778,6791,8147,9369,9513,10101,9152,9841,11776,8195,11482,6494,12047,8642,12544,13697,12370,11726,9730,9697,10410,10044,10122,10109,10322,10448,10934,10861
6.64_904.66,,,,904.6559,6.64,11662,9160,12525,11417,7154,5189,11075,8787,11721,6467,9752,6507,30887,9736,16301,10070,30788,14443,6603,6080,11678,6133,4356,13098,4961,11721,10620,15613,4914,11152,7888,13209,13185,11798,11789,15539,7441,11549,5899,9628,15241,1436,6805,7008,7972,8573,6601,8221,18214,11600,13364,11045,11005,10963,410,239,10,205,212,12,11,10240,10603,10249,10379,11107,11389,10629
5.49_522.49,,,,522.4898,5.485,20312,10397,9075,11594,4564,15446,8346,7091,12096,9766,11798,6113,8439,9029,13422,16869,5822,11713,6252,11302,17078,14710,8178,27078,3806,5370,8440,2889,12180,8625,7343,7673,17767,25398,33442,21654,2638,1503,3341,4560,7283,3732,4401,2332,5396,5010,3689,2602,13499,8973,8998,7127,12427,4666,203,131,145,305,109,125,174,10582,11064,11076,10954,10567,10659,10003
5.11_714.55,,,,714.5542,5.105,633,139,693,2256,753,798,619,458,181,1667,1329,635,1374,281,372,749,1990,5918,6287,17870,36233,22716,44331,63841,4147,6149,9456,14562,22006,11931,4737,13222,27342,45561,52639,29448,3318,4002,4374,3981,12702,3914,3806,4077,5736,4381,3343,3751,9597,7978,18816,6095,5551,5927,5123,4593,5241,5147,4623,4459,5179,10384,11397,11697,12279,13075,12390,13536
6.88_665.55,,,,665.5493,6.88,10150,8907,10227,11848,12757,6124,8586,16562,12995,11213,9916,10529,3952,7988,7159,6289,2939,15541,9230,16077,11861,7894,16840,11360,10940,8133,8161,14611,12375,13094,10415,9141,13236,9642,12547,9999,7225,12468,5462,6170,9694,7123,10342,7446,6941,6024,5318,7693,11117,9157,8422,10950,6552,11095,163,218,315,134,3,3,97,10630,10056,10346,11051,11305,10897,11019
7.55_702.61,,,,702.605,7.551,8231,8248,9226,12909,9572,4249,7185,14429,13579,9357,8588,8745,4591,9277,5782,4430,2887,14604,6697,10724,13744,6654,22169,19523,9906,8519,7505,9260,10700,12076,7445,7052,18109,14458,13367,7270,7833,14528,6402,7107,15558,10384,14628,7064,11881,7925,6427,6466,14797,10296,10814,6710,8357,7907,222,424,318,559,412,232,95,11056,10658,10939,11212,11503,11410,10868
4.26_570.35,,,,570.348,4.264,8079,6633,8997,11379,9321,9559,12169,9035,8730,10860,10445,9933,21627,8373,9746,11877,20352,8827,9423,10274,8783,10197,8391,9468,10883,12046,11366,9217,9950,9034,11777,9364,8944,10511,8583,8785,11220,10944,10964,10786,9281,12952,11407,10536,10359,11607,11189,11096,11053,12188,9599,10502,10569,9787,2661,2416,2556,2778,2705,2219,2765,12383,12083,11451,10310,10134,9883,9537
5.93_698.51,,,,698.514,5.931,10677,10681,12123,11287,5561,6665,8466,10439,8868,10191,11905,6225,7406,9531,14655,9680,6397,14148,6498,9019,20227,10352,12350,21938,6226,11808,11977,15100,9786,11281,6621,16323,20572,19637,23649,17200,3205,5710,5130,4945,10242,2199,5275,4853,6245,5956,4592,4238,9632,6924,5972,6438,7346,4489,1140,664,580,246,374,1010,134,10173,10459,11253,10662,11726,11311,11638
7.47_678.60,,,,678.605,7.471,9477,8222,9613,7907,6923,5309,7396,7027,11666,7339,9858,8860,6828,10520,9572,8281,3317,11653,4769,8932,13441,7643,15002,24322,6745,4979,6776,5818,8271,10667,5050,5644,12423,12255,11316,7346,9847,10520,9723,8918,19244,16103,16618,7923,16748,11651,8856,5893,14323,13734,18239,9120,16610,8396,9418,9712,9656,8952,8699,8520,8226,10635,10246,10954,11141,10802,10787,10199
8.50_612.39,,,,612.3948,8.498,7387,6587,7871,10057,5515,8719,6030,8024,8427,10783,8678,6206,20405,5886,8020,9549,14794,9860,6836,9689,13272,13901,8556,14880,9800,13328,12388,6963,12651,10589,8443,7953,12489,13482,13137,8512,10573,13167,12273,12930,12067,18465,11956,9714,13587,13965,10161,9127,13638,15691,11887,5638,12827,7870,6957,6426,7325,7237,6960,6723,7382,13477,11528,12481,10292,10397,10386,9768
7.77_451.45,,,,451.4525,7.771,5497,5396,5877,7252,5488,5204,7058,6556,6424,6646,12683,6468,36889,4467,10708,6753,22909,7657,6726,6839,10301,12796,8082,17589,8469,11110,8223,15679,7917,7098,7696,5772,12526,13456,12538,6284,8185,14641,10064,11370,13583,18982,12732,10839,15572,16050,8252,34720,15824,13709,13348,7437,13075,10908,8266,6230,6393,6944,10380,8935,8714,11252,10956,10271,9662,10153,9986,9860
5.00_613.40,,,,613.3966,5.002,8008,5111,7866,9845,8873,8563,10298,7030,8343,9819,9194,8068,33338,7432,8835,10018,24649,7307,9435,10493,10652,11007,7923,10981,12277,13636,11401,9629,11648,9283,12263,9135,11019,11025,10306,8472,11494,11745,11135,10711,9397,15116,11571,9738,10629,12494,10894,10164,12942,13762,10520,11387,11172,10371,6026,5936,6060,6010,5451,5701,5747,11999,12253,11403,10189,9952,9901,8968
1.21_626.35,,,,626.3475,1.208,16772,12010,11134,12569,12662,8551,19997,12141,8098,14274,12565,7546,18247,8979,15707,14375,12320,12873,6908,10194,8890,10529,12451,10505,6028,3810,5665,4261,8379,16428,8791,6610,7663,6262,6974,7205,7954,5518,9491,7845,9138,6245,10668,13873,12023,5778,9092,5413,5684,6357,9741,4524,19700,9454,16096,17320,15704,14020,13660,13538,12983,10198,11353,9777,10136,10327,10666,10809
7.93_892.68,,,,892.6795,7.933,4943,5460,7318,10126,4128,5255,5015,5342,7195,7182,7229,4661,25105,4868,5979,6286,19016,8188,5393,8559,14674,10162,11391,21847,7957,11396,8546,6457,10754,8172,7073,7171,15134,18974,14786,7573,9520,15836,11509,14325,17487,24934,16420,9271,19039,16944,10328,7704,19241,18702,14587,4994,16045,7016,4465,4239,4762,4264,5209,4920,4488,12804,11934,11174,10956,10961,10293,10571
5.23_701.51,,,,701.5136,5.233,8573,11780,22473,647,425,5772,9,7,2051,20756,1841,2031,55,2566,21069,16681,40,7900,166,65735,573,3510,10674,338,494,10062,22094,4738,14932,2910,81274,6579,5699,10793,933,34387,241,249,268,468,30671,18621,886,365,10,678,17400,3968,1128,3428,6118,384,558,42615,8,8,8,9,216,196,10,10549,10406,10327,10620,10547,9773,10382
8.44_1038.74,,,,1038.7373,8.438,12118,12617,14939,15197,6218,7274,9788,9665,11973,11459,12005,6145,13334,8551,16442,9992,7232,17620,4665,5714,11967,4596,9,14274,4849,10413,9476,18679,4934,8798,6237,11976,13269,15131,14906,12069,4727,9691,4196,10100,14236,15,5074,5234,9905,10226,5678,5980,15943,11108,13351,6270,11896,8985,175,167,100,133,192,194,136,10858,10801,10726,10449,11062,10526,10381
5.29_612.39,,,,612.3948,5.293,6685,4892,7831,10492,7242,7346,11492,7106,6590,9601,9262,7404,27835,6806,8833,10580,23854,7346,9035,10047,11161,11573,8232,10740,11059,15755,11878,8233,10778,9900,12800,8310,12887,11679,10416,8203,11008,12927,10761,10993,9201,16346,10438,10102,10915,12687,10701,10137,14542,15395,10555,10764,11976,10450,8698,9431,8705,9608,10827,10143,10387,12012,11192,11198,9926,8823,8728,8784
5.18_744.50,,,,744.4984,5.177,143,1126,184,675,1404,447,11,1171,8,10,9,2193,65,487,9,10,47,423,42378,36192,39697,17248,35629,13232,41187,35293,28126,29720,29301,38811,23162,28133,23328,16993,27829,18689,1155,13,12,210,2239,16,1715,3262,12,1148,2137,11,14,14,12,11,786,11,10,9,10,11,12,12,12,11045,11192,10962,11252,11077,11067,10069
8.23_779.60,,,,779.5966,8.234,4266,6306,7431,10591,4180,6680,4271,6208,9120,8436,6570,5035,18891,4713,5374,6251,15247,8445,5451,8881,13907,12213,10640,18561,8875,11271,10130,6488,12423,9772,6680,5532,15651,17143,14017,7356,10604,15138,12041,14039,14720,21848,14573,9967,17661,16931,10203,8427,18499,18562,13883,4184,15459,6739,3905,3899,3592,4006,4359,3986,4311,13486,12816,12644,11397,11337,10360,10491
5.54_672.42,,,,672.415,5.537,7127,5162,7408,10296,8070,7900,9923,7549,7291,9496,8900,7999,19779,6949,8578,9520,16806,7517,9502,11098,10708,10624,9280,10289,11644,14250,12322,8509,11033,9876,12205,9060,12313,11995,10714,8259,9817,12143,11061,11121,9834,16241,11133,9250,12217,11964,11223,10666,12989,14428,10204,10135,11476,10140,8775,8578,8937,6579,8764,9008,8784,11281,11719,10749,9078,8796,9215,8074
5.55_791.55,,,,791.5533,5.548,7815,11675,8155,11731,14589,14933,8296,11926,17962,9427,8127,17032,8476,9804,6627,6978,8682,8246,11374,9275,9482,9214,8947,7916,11250,9356,11229,11109,14999,10462,6979,8037,6846,7302,7315,7516,8585,9541,9642,12447,9548,8847,8701,11050,8109,9402,10310,11225,10117,6818,6419,7073,7322,6651,379,477,206,344,380,11,431,9441,9852,10177,9898,10120,10787,9855
6.01_776.55,,,,776.5528,6.009,8775,10196,8595,10255,11253,9209,6891,10498,8659,9235,8435,9967,6737,9554,9899,9292,7470,9625,10532,11777,13480,9180,14941,10789,10277,9958,10184,10212,12614,9208,8378,11168,10957,9307,13650,10233,7760,9096,8626,9079,11011,8409,8494,10241,9245,9840,9605,8932,8608,9301,7776,10371,9639,8642,2052,2213,2029,2028,1458,1556,1736,9584,9863,10272,9971,10805,10032,10624
5.59_672.41,,,,672.4145,5.595,7127,6061,7408,10296,7798,7900,9923,8218,7291,9186,8654,7999,15748,6970,8947,9520,12413,7517,9502,11098,10956,11200,9280,10833,11644,14767,12322,8509,11048,9412,12055,9060,12313,11995,10714,8259,10899,11609,11031,11121,9834,15165,11133,9734,12217,12325,11223,10666,11959,12309,9607,10135,11476,10140,6052,5040,5053,5014,4838,4340,5395,12318,11655,10589,9755,9579,9215,8830
8.22_718.57,,,,718.5728,8.224,4033,6482,7321,9956,4029,6754,4172,6424,8871,8483,6693,4794,18508,4543,5720,6539,14443,8186,5616,8442,14007,11931,10415,18778,9091,11674,9816,6724,11681,9496,6306,6015,16037,16522,14757,7760,10317,15172,11725,14323,13764,22337,14662,9738,16794,16482,10869,9416,18307,18452,14137,4237,15310,6462,3822,3888,3592,3496,4270,3603,3882,14324,12000,12455,11420,11457,10884,10493
5.55_449.31,,,,449.3128,5.552,7704,4746,8011,10814,8025,7178,10357,7002,6988,9731,9500,7221,21694,7294,8615,10496,15840,7415,9194,10654,10740,11602,8703,10490,11930,15515,12310,8192,10588,10287,13044,7986,11357,12013,10693,8648,10767,11850,11551,11184,9433,15441,11713,9064,11838,12280,11900,9273,12125,14680,10466,9039,11216,9444,7061,9534,9950,6786,6956,9986,6361,12666,11525,10716,10314,8419,8937,8762
6.74_421.23,,,,421.2269,6.744,8809,8503,10007,11467,5365,9008,7098,8202,8017,8444,10781,7925,17402,7840,9255,7913,13116,11823,7213,8232,13103,10603,8081,14431,8032,10676,9189,9250,9342,8880,8817,9247,14791,12478,13747,10953,7882,11330,8311,12766,12857,14491,9463,8426,13262,12166,8894,8063,12013,12274,11729,5849,13466,7665,4364,4504,4432,4318,4774,4033,4919,11256,8699,11735,11126,10879,11042,10288
7.68_680.58,,,,680.5777,7.681,9464,8223,12768,10208,11199,4535,10705,18267,15910,9872,9615,15065,4439,8373,7675,5580,4126,13481,5181,8723,11420,6080,15938,6959,7906,8750,5791,11565,9258,10264,5375,5893,11811,6292,7356,5475,14317,14858,12088,4188,10469,14988,17287,4826,5173,10775,10016,2920,11950,14296,8180,11166,13583,8076,219,391,297,259,214,69,355,10514,11457,11378,12016,12011,11870,11757
4.55_673.42,,,,673.4167,4.546,7959,6050,8058,10698,7844,8324,11315,8102,8207,10586,9742,8441,16374,6637,9053,10752,10352,8233,9172,9265,10341,8756,9375,11247,9820,11456,12539,8873,11518,10156,10241,9094,11743,9317,8637,8686,11501,11341,10646,9544,9503,15127,11751,8620,11924,11040,11433,10899,13655,14433,11143,10676,9664,9381,2724,2718,1146,2508,3409,2879,2607,12686,12844,11472,9644,10063,8977,9592
5.00_893.61,,,,893.6098,5.003,4739,11154,3282,12509,10411,10716,3571,9147,7520,10593,7441,12968,5357,6565,4512,6882,5782,12290,14688,17501,17198,7807,12973,7674,16873,19682,13427,9211,12675,13550,9456,8839,6418,11156,13380,6567,9017,9830,10575,12068,10979,13319,9855,10255,8509,12105,9381,8810,7491,6318,6655,3680,9478,6405,8,162,380,160,243,311,98,10616,11094,10015,10008,10054,9869,9403
4.78_821.54,,,,821.5373,4.784,15959,10721,11175,12941,10204,10950,10326,10438,9571,23089,12810,15215,19019,19202,17801,15823,11617,11006,6585,7721,7320,7140,7812,9809,8182,7474,8225,7297,6936,7343,6952,6924,6612,8215,6896,6368,7927,8175,7384,6957,7302,10103,7674,6788,8218,7499,8493,8405,5247,8344,7180,5657,7673,7423,121,363,4,135,201,116,170,10695,9967,10345,9519,9918,9501,8866
6.77_679.49,,,,679.4918,6.773,6177,7402,6823,7396,5593,5969,4113,6267,6617,6181,7672,5428,4220,4878,5651,5288,4490,9529,11904,13256,14269,12155,10335,13189,9838,9064,10850,7771,12168,11945,11275,11398,10935,11659,14334,14036,11200,9871,11569,15504,14304,13963,11980,12694,15032,13377,10204,6628,11953,12575,11917,7960,12942,11940,137,8,151,265,179,187,10,9834,10375,10438,10406,10970,10647,10267
6.04_824.50,,,,824.4978,6.045,3184,4504,3081,9264,5993,9200,4952,7403,6145,6685,6967,6740,8999,5346,5968,7284,7733,5130,11769,13403,12462,11492,12000,12610,13747,14916,14664,10489,12786,11556,13177,12160,12739,10537,14091,10602,11087,11848,11572,11337,10601,15468,11712,10874,9723,12640,11709,10859,13979,13012,9701,9682,11570,11885,2304,2287,2150,2371,2147,2160,2149,11185,12180,11232,10399,9903,10582,8555
4.36_904.57,,,,904.5723,4.364,5737,7449,4709,8524,17381,9119,7878,10562,16783,7833,7192,18344,5758,5299,3015,4482,8388,9334,15439,14776,12398,8924,10709,7135,16477,16109,13425,12554,13508,14790,9377,8395,7352,6616,7711,6241,12258,10057,8272,6512,8691,12807,13175,11460,7821,7829,7849,9461,8435,8128,8040,7931,6320,7167,472,394,235,331,315,272,344,10033,10398,9786,9772,9620,9160,8655
3.03_465.31,,,,465.3055,3.028,1970,2953,5097,3097,2643,1919,500,18756,2417,5532,7347,41845,12160,1521,3533,2166,134,2884,44595,1683,573,2239,1384,1986,42164,52822,66341,7484,19933,1611,38,1185,492,898,82505,1207,1752,629,40586,1896,4126,2554,28857,677,781,773,563,1365,674,761,585,2013,1763,1719,49789,462974,31330,33501,31465,32718,28319,7872,8267,6880,4860,7389,2946,6923
6.07_672.42,,,,672.4152,6.072,7207,6098,7721,10190,8366,8202,9325,8263,8179,9156,9044,8293,13607,7150,7876,8584,11547,8037,9316,10495,11425,10675,9040,11539,11400,14368,11812,8333,11115,9498,10351,9049,11942,12278,11634,8321,9894,11418,10805,11454,9517,14053,11174,9665,11810,10795,9867,9702,11490,12812,10130,8918,10878,9731,7907,8318,8224,8343,9413,9424,9192,11619,11439,10859,10023,9658,9546,9040
5.47_757.51,,,,757.506,5.473,11447,9576,11134,11440,11339,9184,12023,14709,6153,26832,17131,10758,56,12101,22548,19307,40,14225,6669,6783,7136,6075,5821,10454,5325,5805,5734,5555,5078,7315,10436,7332,9737,8127,9853,7696,10566,5527,7058,7430,6071,8627,7441,6105,9330,5717,5901,4686,6892,10290,9771,7214,9403,12624,8,8,9,9,11,10,10,11515,11006,10168,10006,9545,10005,9425
4.41_893.56,,,,893.5556,4.411,7239,10213,12330,13726,10938,8723,13054,9555,11343,8460,10764,8997,6773,13170,7803,8841,10888,9309,9932,11557,8968,8174,11314,7162,15259,9415,8439,9529,9308,7918,8340,9463,7235,7657,7082,7591,10087,9864,7906,7279,10870,9258,11848,9533,10882,10534,12204,9990,7650,6760,9418,8784,8056,7731,212,482,459,327,214,101,431,9611,9767,10084,10573,11073,10795,10680
8.20_934.73,,,,934.7278,8.2,4163,5521,6810,10560,3686,6305,4403,6014,7789,8138,5998,4553,18125,4005,5545,6027,13638,8132,5227,8701,14142,11926,11435,19331,8722,11301,9452,6625,11222,9692,6013,5545,15291,18157,14301,7856,10470,15773,10646,13578,13521,21453,13993,10086,17167,16134,10437,8666,16897,17877,15598,3754,15375,6613,3713,3530,3593,3732,4630,3862,3806,13206,11754,11377,11033,11187,10525,9837
7.07_863.66,,,,863.6592,7.072,3882,2557,4137,5090,2058,2815,3138,4021,2741,5044,3452,3779,5569,2634,2843,4400,3251,2803,4425,14479,32309,23339,46206,54359,2281,2784,3156,15879,30466,5339,4287,3538,28461,47674,51194,23575,1944,3637,4906,1126,9059,5762,2181,4045,3778,1892,2137,1928,7629,7111,4431,4027,5020,3531,2510,2306,2445,2454,2468,2513,2351,9494,10144,9539,9503,9001,9126,9397
9.09_1475.99,,,,1475.995,9.093,9954,7775,9013,8278,13683,10742,14616,14626,17902,11635,10836,12158,32468,12553,15655,16309,37093,9988,9275,9604,9320,6257,7366,8467,8848,9232,10552,7219,8692,9329,13796,13407,6638,5195,7923,11338,6899,3598,7924,4162,4727,13009,7399,5387,4860,5442,9790,9260,3213,6641,7738,5207,5836,5468,115,9,97,10,121,12,11,11850,11345,9811,9098,8257,8469,7781
6.19_538.52,,,,538.5212,6.187,4119,5198,5791,6871,4116,3992,2212,7128,4200,5414,4902,3207,2280,3495,3368,4821,2834,7100,4354,7434,19715,5826,8857,21107,4072,7988,11810,13050,5711,9171,4259,10457,13289,13890,17145,14176,6004,13225,5517,15020,37964,7392,8009,7977,23610,16945,7540,5209,26250,15294,27907,4170,22269,10571,2567,2682,2487,2533,2366,2751,2382,10102,9802,9337,10355,10704,10078,10264
7.70_632.60,,,,632.6007,7.7,7267,9055,7761,7907,7340,5655,5755,6765,12267,7392,8641,9250,5162,8675,7482,5990,2975,11625,4285,8148,12074,5768,11300,20408,5434,4871,6162,5499,7567,8811,3877,5202,11161,12573,10985,6327,8872,10867,8408,10330,21468,16138,16159,7909,15004,11508,7127,5348,19447,16719,20816,9745,18127,10321,373,295,697,622,715,457,633,10336,9896,11262,10698,11648,11275,10896
5.65_672.42,,,,672.4153,5.646,6981,5695,7694,10149,7892,7796,10116,7554,7490,9186,8654,8125,13875,6920,8516,9665,10941,7928,8886,10587,10377,10410,8558,10733,11062,14491,11432,8273,10643,9187,12021,8508,11600,12137,10706,8237,10899,11374,10294,10501,8769,14134,11219,8761,11575,11668,11099,10223,12860,12309,9607,9732,10240,10326,6052,5926,6649,5572,5708,5445,5395,12318,11655,10579,9581,9579,8830,9096
4.54_848.55,,,,848.5497,4.536,8718,9109,8922,10760,13144,10199,9306,9735,10530,9502,8893,12031,14623,7629,8592,8600,13898,7417,8798,8698,9705,9095,9310,10388,9920,10320,9332,9974,8473,9451,8560,7688,7835,7942,7117,6603,12242,10987,12940,9671,9571,12224,12193,8657,8521,10618,11390,11307,8692,9715,10328,8493,7903,9042,876,1819,1993,1356,859,2261,1454,10998,10586,10217,10043,9321,10073,9727
6.67_590.55,,,,590.5534,6.675,11705,19714,11022,9481,15842,9828,7105,13155,15659,13257,12257,19350,4481,12187,11271,9380,2926,16655,7158,10167,8962,5599,8040,10179,6148,4400,6208,5468,7114,10106,4472,5738,8071,7210,9663,8268,6286,4342,5391,6485,8490,5930,7383,5778,6502,5429,4762,4640,9069,7939,9898,11824,10565,9233,7,70,7,92,99,8,8,9935,9697,9623,10710,10829,10731,10738
6.16_896.64,,,,896.6374,6.16,10666,7133,8760,10920,9837,8760,10245,8349,8337,7085,9658,11778,12957,6886,8649,8041,9732,11286,8893,9595,10143,9328,11815,10419,10269,12438,10388,7992,9749,11398,12010,10939,10440,12616,10040,8415,8361,10169,8495,8422,7312,9651,8428,8444,8331,9372,8717,7723,10193,10958,10168,9526,10233,10259,5022,5130,5187,5248,5440,5745,5248,10602,10266,10002,9818,10184,9358,9218
2.74_379.23,,,,379.2331,2.74,8594,14633,7543,11230,7083,6519,3383,6189,7937,10202,7584,7941,10099,8020,4963,7533,3511,12692,9928,13268,17291,13850,12898,12359,6443,4165,7964,6607,8740,11764,4817,6353,12649,17514,19625,10306,8823,6197,9778,17856,16032,7236,8135,9665,18249,12307,6799,2915,6012,8508,8889,2413,12675,4527,28855,28455,28510,31172,28716,28833,27402,8628,9637,9740,9466,10455,10067,9783
5.48_862.60,,,,862.5973,5.476,5546,5350,6722,11679,6169,7703,7905,6454,6879,1325,7547,6625,2006,6796,4416,7178,1621,9153,8073,9395,12126,8724,10468,9367,10013,12154,8673,6821,9537,8249,10704,9367,13976,11452,10496,7993,11770,13874,12534,12209,13078,14812,13777,10643,15588,14096,13461,12246,12858,13993,13755,10998,13673,11291,358,601,745,750,376,428,312,10515,10529,10081,9587,9449,9357,9537
5.25_837.55,,,,837.55,5.247,8454,7579,7284,8863,9442,9524,7511,9416,9965,9166,7788,10148,19584,8805,9928,8585,28635,9257,9325,10402,10595,8538,10675,12359,9550,9901,9033,10067,10339,10204,9409,10691,10858,9676,10555,10228,8228,9552,7821,8507,9871,8646,8193,9443,8030,10136,9699,9204,10337,9472,8882,8408,9119,9364,3056,3396,3490,3088,2944,2909,3152,9962,9840,9520,9680,9880,9117,9836
8.62_672.41,,,,672.4148,8.615,5983,5833,7529,11190,5189,7661,6002,7570,7596,9581,8348,6989,16027,5896,7720,8804,15607,8153,6978,8965,12059,11434,9127,13078,10396,13529,11195,7666,11157,9454,9021,7469,12501,12826,12033,8194,10771,12935,11534,11255,10251,17007,12070,9281,12599,12467,9360,8686,14038,14477,11126,5855,11689,7261,9272,9038,9823,9357,9583,9527,10450,13019,11609,11043,10051,9632,9335,9157
6.16_734.50,,,,734.504,6.162,10035,6790,11869,9699,6405,7220,15568,10150,7390,10546,10142,6969,5801,7171,14366,14609,4051,8426,8749,9653,7584,9293,8330,6151,10927,11209,10385,12155,9050,10068,11191,8868,9778,8440,7888,8746,9687,10239,9144,8562,6318,7352,7647,10138,7402,8582,9638,11531,11590,10018,9414,12153,9212,11923,2,75,59,2,243,2,2,10373,11038,9716,8983,9684,9729,9306
5.58_560.47,,,,560.4658,5.579,10327,6063,7651,8794,6075,7476,8874,7635,7792,7650,8361,6310,16794,7263,9589,10014,13884,11123,7366,9417,12896,10853,10410,14149,7931,8758,8551,9096,10626,9351,8564,8932,14100,14274,16460,11540,8843,8631,8426,8591,10765,9376,8559,7517,9865,8911,8247,7069,13582,11607,11737,9075,12534,9482,5695,5672,5973,5409,5433,5302,5594,10451,10440,10157,10202,9850,10065,9590
6.88_639.53,,,,639.5333,6.883,9136,6105,6781,9366,7249,4991,6388,11095,7864,6568,7137,5376,4712,6232,5570,5923,2931,12943,9821,18509,13437,8825,16644,12961,12252,8663,8834,13199,14263,12538,10736,10481,13512,11884,15690,11904,6604,11074,6014,7714,11224,8033,9985,7196,8257,7148,5016,8339,11272,9430,8232,10664,8018,10876,260,361,507,159,266,383,352,9547,10136,9815,9615,9941,9655,9990
8.49_958.73,,,,958.7344,8.491,6046,13982,15424,9443,6354,3153,3910,10064,7354,4728,5996,3407,10306,3355,8181,5657,8660,8069,5373,5350,18285,5881,8980,25051,4419,11887,6731,8145,7078,7420,6519,6775,18348,19406,22543,7093,4813,8266,7204,9532,14562,15297,10539,7554,17299,11533,8133,4980,15196,14098,20314,2930,18353,4166,1401,1510,1450,1669,1805,1729,1761,14617,9024,8944,14144,7581,9356,7122
