,,,,,,Label,S4.1 L,S4.2 L,S4.3 L,S4.4 L,S4.5 L,S4.6 L,SR.1 L,SR.2 L,SR.3 L,SR.4 L,SR.5 L,SR.6 L,S30.1 L,S30.2 L,S30.3 L,S30.4 L,S30.5 L,S30.6 L,PR.1 L,PR.2 L,PR.3 L,PR.4 L,PR.5 L,PR.6 L,P4..1 L,P4.2 L,P4.3 L,P4..4 L,P4..5 L,P4.6 L,P30.1 L,P30.2 L,P30.3 L,P30.4 L,P30.5 L,P30.6 L,TR.1 L,TR.2 L,TR.3 L,TR.4 L,TR.5 L,TR.6 L,T4.1 L,T4.2 L,T4.3 L,T4..4 L,T4..5 L,T4.6 L,T30.1 L,T30.2 L,T30.3 L,T30.4 L,T30.5 L,T30.6 L,Biorec001,Biorec002,Biorec003,Biorec004,Biorec005,Biorec006,Biorec007,MtdBlank001,MtdBlank002,MtdBlank003,MtdBlank004,MtdBlank005,MtdBlank006,MtdBlank007,PoolQC001,PoolQC002,PoolQC003,PoolQC004,PoolQC005,PoolQC006,PoolQC007
5.14_1651.08,,,,1651.0795,ESI (+),5.139,1443,5597,2496,4495,7266,2388,681,2226,2094,7214,3362,14628,238,12277,1125,2028,7235,13577,5675,11002,6064,3159,6028,4372,7730,7950,4598,401,8484,7433,5461,3842,4586,3316,779,1025,9171,5083,5085,5972,7113,7778,4524,4101,9548,6306,4033,3636,7515,4218,11380,4099,6969,5599,160,137,118,309,724,144,188,3.25,3.25,42,33,51,3.25,3.25,3572,4097,4694,5165,5674,6770,7322
9.75_912.72,,,,912.715,ESI (+),9.75,11580,7782,5586,7007,6697,3991,1836,1805,4563,10806,2727,9663,3900,6681,4874,12719,7990,3824,10318,1894,4191,3705,7709,4840,5494,5274,10403,627,6608,3828,9282,3115,2717,5389,2356,1385,4925,1940,3839,8424,2925,2598,2979,4209,8046,4381,6822,8008,4221,5979,5452,3823,5112,7341,3.7,84,3.7,67,3.7,40,123,57,63,46,62,3.7,78,105,6343,6080,6168,6253,6530,6427,6462
6.36_796.59,,,,796.592,ESI (+),6.358,1998,3159,3356,4594,6695,4772,1316,2675,3039,6803,3560,7441,1035,10904,1115,2365,8073,9768,6897,6873,4680,3598,5884,5319,5133,5080,5785,516,9174,4943,3056,4615,3094,3722,1434,5391,10047,5701,6462,5340,11782,6668,6992,6779,7353,6211,5339,6321,5763,5510,8936,6343,6964,7537,2.7,2.7,2.7,2.7,2.7,2.7,2.7,458,53,338,119,238,174,158,3429,4999,4456,4339,4598,5181,10647
9.82_1055.88,,,,1055.8833,ESI (+),9.821,10152,16232,8433,6593,4264,3545,1222,815,2307,14573,1652,10447,13683,6562,9813,14988,11295,4618,11075,1742,4696,2290,9268,2452,4824,4553,14349,415,6556,2808,7787,1938,1778,4400,1156,782,4324,1450,2792,9290,2306,2131,2511,3170,6583,3405,6164,7492,2228,3260,3154,1468,3710,4323,59,71,54,3.44,3.44,62,36,3.44,3.44,3.44,3.44,51,3.44,47,5493,5822,5883,6201,6431,6543,6470
10.34_906.76,,,,906.763,ESI (+),10.335,8089,4633,2954,6531,3346,785,301,454,1414,10719,907,5891,924,3929,2579,13826,4592,2624,15480,1989,4773,1899,17801,1664,4791,4045,28805,217,8604,4722,9418,1523,2070,6709,1529,689,4248,1902,5164,14954,3373,2791,2932,3544,9258,6156,10072,9427,3266,6718,4556,2044,5780,6176,1620,1377,244,323,582,207,841,61,60,105,43,71,4.03,43,6020,6136,5958,6420,6134,6289,6225
10.65_1003.85,,,,1003.847,ESI (+),10.65,11714,7795,7768,6256,4529,3443,1975,1207,2947,17122,2751,9350,5862,6222,8165,13090,8736,4346,10948,3028,4702,3105,8690,3456,5079,4649,9267,472,6552,3767,10053,3057,2740,5594,2030,1238,4435,2257,3693,8373,2663,2956,3381,3915,8186,4274,6440,6377,3153,4542,4592,2300,4463,5661,369,241,109,292,265,348,321,4.24,50,4.24,45,73,4.24,92,5953,5582,6003,5924,6270,6124,6077
5.18_184.07,,,,184.0736,ESI (+),5.183,2369,4471,2701,4579,7247,4041,1149,2743,4499,4808,4826,9165,817,7380,1400,2228,6110,8615,6027,6710,5776,5413,7228,4450,8083,7173,6102,888,7833,7834,4908,5321,4531,5729,2790,2777,7971,5842,6403,5712,7282,6520,7548,5118,5526,6513,5606,5671,6358,6165,7585,5677,5994,7102,6971,5778,2502,5424,6164,5661,6135,144,97,147,112,99,95,93,5058,5386,5776,5436,5724,5767,6204
10.14_861.76,,,,861.7626,ESI (+),10.138,21404,6197,5445,7281,6483,3081,1214,546,2363,10702,1532,7141,1139,4301,2281,28948,7400,2061,19580,1345,4131,3227,11223,3763,6074,3947,18071,211,7709,2612,16698,3023,2439,6792,2355,1185,2091,772,1920,5888,1583,1514,1060,2292,7475,3043,5046,6553,3235,3975,2985,1959,3596,4408,807,448,355,662,770,715,945,75,4.02,72,85,102,44,46,5707,5124,5426,5243,5791,5852,5767
5.33_864.62,,,,864.6227,ESI (+),5.33,4661,5734,6844,6174,8242,5748,2548,3697,4043,7325,6839,9673,2078,10253,2560,3794,14338,7729,3639,6517,4657,3420,5796,3177,5714,5074,4546,1235,6108,4807,5398,4182,5602,5294,1776,4020,6009,4366,4862,3516,6183,5535,4619,4263,5281,5338,4211,3347,8252,6353,7238,8303,6570,5670,747,497,460,494,698,639,791,4.42,58,49,61,48,47,4.42,5873,5198,5582,4975,5348,5900,5988
9.59_932.77,,,,932.7653,ESI (+),9.589,12132,7510,4929,6957,5353,2796,984,917,3740,14666,1747,12603,3053,6388,4397,18441,7426,3384,14108,1362,3738,2320,11362,2899,4616,4060,21303,427,5990,2351,10394,2046,1876,4478,1107,875,3932,1351,2813,9662,2339,2055,2160,3168,8876,3535,7173,8631,2856,4787,4265,2277,3817,6205,5.05,5.05,92,131,5.05,86,94,5.05,65,63,67,52,5.05,54,5462,5694,5641,4975,5849,5678,5801
10.73_1000.83,,,,1000.8323,ESI (+),10.727,18886,14081,8865,5948,3530,2903,1326,731,1493,20478,1510,7504,7849,4650,9589,15694,11223,3777,10443,1694,4812,1829,10289,2191,4794,4814,10600,169,6293,3378,9419,1803,1698,5057,1212,613,3919,1298,3203,7231,2615,1993,2947,3295,8333,3688,6159,7408,2726,3589,3316,1687,3441,4443,343,291,90,127,288,351,153,47,3.91,3.91,3.91,44,39,3.91,7102,6636,6242,7793,7645,7208,6414
6.54_550.63,,,,550.6298,ESI (+),6.542,3394,2457,5909,4355,4458,6360,2226,2051,7073,2161,9367,2427,7007,1769,8631,2812,4298,1749,2332,1629,2838,7089,6780,3412,5549,2053,5525,2397,3623,3630,3121,4674,2976,9901,31026,7625,4719,3225,4667,2631,8625,2499,6370,2730,2164,4220,3394,8113,1638,9011,1729,9052,2181,30008,19103,9335,6184,7070,3516,2916,2492,9855,7146,4966,2971,2371,2404,1750,13953,7893,6407,3463,2813,2237,2119
10.95_959.80,,,,959.7963,ESI (+),10.949,10706,6398,6508,6447,4891,2751,1866,825,2573,11654,2192,7224,2963,5669,5302,12657,7664,4108,10357,3253,4791,3641,10048,3302,5950,5941,11600,304,9017,5270,10223,2999,3253,6797,2582,1154,3810,1484,4195,10561,3019,2852,2628,4102,8554,5499,7130,7061,3643,4895,4651,2733,5832,5895,1139,586,496,1015,694,1026,129,41,74,46,35,40,56,38,6250,6249,6029,6251,7008,6549,6722
9.79_885.70,,,,885.6964,ESI (+),9.785,7366,4978,4914,6844,6758,2481,1302,1128,4720,9727,1995,10165,1983,6368,3409,9703,6033,4252,11766,1306,5093,3215,11665,4616,6764,5781,13205,511,8001,3695,11006,3086,2893,6311,2166,1100,5172,2106,4326,9381,1795,2879,2929,4491,8820,5199,9148,8872,3852,6442,5004,2525,5630,6538,59,160,36,113,75,162,103,180,52,39,45,108,62,3.56,6610,5962,6472,6758,6988,7128,6729
10.64_932.77,,,,932.7704,ESI (+),10.638,8266,6253,4530,6192,4338,2445,1101,647,2332,9926,1710,6764,2201,4988,3722,10056,6158,4546,11020,3766,6248,3399,11125,3412,6616,5964,13899,286,8207,6594,9151,2954,2850,7115,2853,1318,4654,2822,5455,10526,4170,4030,4087,4342,7413,6016,7627,8116,3891,5614,4909,2869,5860,5900,2361,2358,1084,2380,2216,2399,2326,101,117,176,152,171,73,138,6805,6784,6625,6733,7073,6897,7330
10.29_930.75,,,,930.75,ESI (+),10.285,7793,4497,5233,8051,4409,2943,1345,1325,3539,9965,2196,8443,2129,5021,3947,10331,6924,3920,8502,2410,4775,4057,9071,3174,5142,4641,8524,597,6136,4902,6930,2487,3080,5495,3835,1646,5622,4778,7908,6630,6460,3493,3422,6231,7085,8221,10617,8544,4061,8408,4743,3399,5604,8403,2451,1837,937,1923,2226,2088,1995,83,53,114,57,54,5.28,5.28,5095,7242,6107,5462,5760,8402,5403
5.86_1572.19,,,,1572.195,ESI (+),5.863,3.63,698,238,1359,41326,3.63,131,450,519,1144,1092,3128,55,8779,120,136,2549,11502,3935,4383,2976,702,2302,528,5612,3796,2383,3.63,8598,5020,5534,2597,4276,4880,82,931,7678,8033,8112,4503,15614,5740,7129,4187,5828,14200,9955,2368,9239,8612,17623,8617,4217,17226,53472,32479,2209,30920,36905,36215,41935,50,3.63,3.63,3.63,3.63,3.63,3.63,4169,3774,3130,2051,3939,4149,5210
5.14_577.52,,,,577.5194,ESI (+),5.139,6228,8571,5935,5993,10818,5282,369,3453,4034,1421,6019,1706,1853,9639,3960,1061,2375,1217,1170,1856,9374,6900,12735,6464,11925,1135,1963,433,11732,1255,779,7666,13249,11976,5246,4362,2802,1846,1977,981,9424,1231,10472,6578,930,9922,6172,6853,10222,8651,1679,7892,1210,11424,656,671,158,616,780,817,907,292,122,133,204,8,146,54,8401,7953,2126,1810,1271,7725,1214
10.09_939.74,,,,939.7441,ESI (+),10.088,7884,6472,5485,6748,6255,3570,1991,1678,3795,12232,3031,9237,3229,7054,5353,10432,7725,4366,8331,2498,5165,3108,7926,3992,4380,4915,9128,732,5176,3888,7064,3168,3848,5239,2235,1364,5994,3329,5055,8606,4280,4333,4138,5280,8006,5026,7992,6616,4783,6639,5590,3572,5571,6767,3.9,69,3.9,132,137,143,58,60,3.9,64,58,43,73,64,6488,6218,6192,6428,6664,6464,6677
10.04_961.69,,,,961.6862,ESI (+),10.041,11585,6750,7079,8261,7558,3946,2484,1377,3501,8077,3229,7234,2514,6189,4700,11440,8279,3887,9101,2510,5079,4658,8192,5248,6793,4920,8440,350,7418,4499,9171,4338,4191,7929,3583,1986,4131,1549,3345,5950,2550,2738,2495,3358,7407,4699,5957,6697,5325,6098,5554,3597,5481,6814,1823,1370,822,1412,1753,1580,1623,101,68,41,98,1.05,67,49,6646,6743,6776,6403,7063,7044,6732
8.62_1015.75,,,,1015.751,ESI (+),8.624,7544,17561,6501,7461,4520,3243,1245,1859,3908,19133,3188,18462,9070,6928,15367,12809,10064,7360,9776,993,3338,1645,8593,1567,3378,3780,16943,362,4390,1837,6148,1551,1217,2829,736,660,4746,1300,2519,8340,1969,1501,1854,2835,6883,2677,5311,7373,1681,2587,3672,1322,2587,4754,3.62,49,3.62,42,49,40,39,3.62,50,3.62,3.62,3.62,3.62,3.62,5556,5266,5113,5385,5572,5773,5880
10.64_907.77,,,,907.7738,ESI (+),10.639,8647,4815,4012,6120,3698,1828,640,469,1200,12884,1018,5558,1328,3271,2065,18346,5969,2114,20858,1014,1741,3064,19047,2726,5591,4527,29933,176,10470,3784,10342,2525,1862,3962,1351,410,2297,1721,3380,14792,1280,1730,2291,2476,6762,5321,9295,9870,2832,3889,2378,2277,4681,4714,1474,769,479,987,1050,1574,522,40,69,40,39,82,3.85,46,5538,4354,3165,5043,5653,4106,5548
5.01_907.69,,,,907.6891,ESI (+),5.007,5242,5698,6238,6229,5925,5380,4438,5171,4847,6084,5700,5016,4217,5564,5109,5991,4815,5605,4881,5538,5302,5313,5354,5223,5455,5284,5735,2512,4980,5598,5387,5280,5615,5755,3440,4414,5047,5657,5969,5423,5273,5362,6012,5685,5491,5344,5075,5672,5732,6159,5233,5870,6133,5471,1839,1471,599,1319,1185,1305,1334,69,3.25,3.25,47,37,3.25,48,5884,5808,6291,5906,5807,5669,5905
7.51_680.59,,,,680.5948,ESI (+),7.515,3357,3618,4395,7140,6414,2199,1656,3700,4908,5192,7103,5759,1176,7099,2707,2279,4985,13533,10282,12447,15079,7492,17704,8827,8874,12023,13241,1859,8568,8957,7150,4987,8047,6415,2950,2884,2950,4206,1966,1401,4044,1856,3673,1559,2310,2159,1654,2505,2700,1758,3010,2378,1475,2210,149,74,327,84,177,161,118,83,113,109,4.14,179,64,41,5747,5228,5456,5176,5287,5876,5867
11.82_659.60,,,,659.5981,ESI (+),11.816,17597,4216,6279,7129,4258,1399,1040,604,1739,15877,1852,5355,771,5840,3889,19737,6995,3870,11836,911,4505,2880,17507,2825,4377,4417,7877,180,7431,2513,17316,2546,4676,8565,2387,1120,2461,1255,2534,7332,1882,1954,1572,2090,9228,5217,8550,6441,3024,5519,4536,2075,6408,4243,607,364,178,369,90,170,170,71,34,189,124,95,157,88,5904,6595,6341,6777,6759,6158,6371
9.95_1066.88,,,,1066.8789,ESI (+),9.95,4952,6563,6179,5852,3413,2382,942,1000,2183,12591,2023,9646,11321,6613,12037,11617,8777,5608,10589,2188,5095,2664,10223,2825,5192,5601,15052,442,7161,3183,8510,2942,2297,4479,1557,902,5153,2098,3407,10335,2922,2462,3782,4022,7933,4050,7734,8681,2528,3384,4310,1798,4152,5073,3.59,81,45,96,3.59,91,79,43,3.59,49,3.59,36,61,3.59,6057,6096,5944,6154,7011,7001,4446
1.35_269.21,,,,269.2088,ESI (+),1.354,2875,7402,1858,5636,3288,6189,12420,1103,1297,25771,1110,7892,8132,16136,2412,10760,1260,2375,722,1098,10061,2119,1287,4010,1574,2963,5298,9345,946,1841,9969,12602,1940,877,2490,28489,4405,2334,1964,1974,10343,5310,1087,3861,3789,716,693,7662,18302,5288,1794,1228,1016,845,35901,21320,39493,2891,4807,4748,5185,4875,1875,5100,2047,6931,7650,7657,8297,3448,5839,8056,6833,7122,7195
10.85_909.79,,,,909.7902,ESI (+),10.85,17318,5514,5262,7899,5187,2181,472,397,1890,13830,592,6429,1295,5270,2966,21673,8193,2362,14366,2290,4400,1690,11891,2803,5221,4175,14060,168,8530,5898,11826,1420,1656,7278,740,218,3364,1113,4011,8181,1764,2772,1855,2159,8516,4849,7446,7345,3836,6313,4139,2412,5156,5020,3.68,3.68,3.68,3.68,3.68,3.68,3.68,44,44,37,103,60,40,3.68,5813,6066,6086,6648,6748,6332,6659
8.89_995.71,,,,995.7112,ESI (+),8.894,11246,24653,8906,6716,4015,4200,1979,1914,2690,15899,2481,12074,24555,6221,16313,12055,13871,5564,7662,2852,3087,1440,5269,1706,3176,2890,10426,437,3573,1766,5886,1504,1323,2466,743,456,4447,1217,2016,5652,2129,1703,2351,2209,4954,1658,4115,5494,1726,2589,3220,3194,2105,4609,55,162,81,42,100,180,61,38,40,2.21,58,2.21,36,2.21,5399,5288,5101,5428,5471,5246,5792
10.74_831.74,,,,831.7445,ESI (+),10.744,6618,2858,2268,4430,3480,689,245,284,885,4993,554,3202,178,2435,1011,10628,2390,1531,14015,1706,4816,2821,14593,2368,6049,4060,22365,109,8932,6381,10735,2255,2656,7117,1877,706,6540,4595,8705,13436,7415,5692,6319,6005,10113,9794,11603,9227,3702,7206,3507,2312,4557,4340,3024,2570,1232,2355,2622,2474,2681,64,3.58,3.58,64,81,50,36,6390,6279,6373,6560,6500,6757,7215
0.71_358.23,,,,358.2283,ESI (+),0.711,19016,15486,24148,28622,9055,9023,7660,1264,2545,5650,16722,9480,3283,6201,3785,6589,6646,5161,11749,8717,5612,6473,4804,3222,4889,6280,3730,3286,2297,897,3581,3369,1587,2468,3556,3300,3723,3379,4120,3377,3321,2766,1070,1211,460,359,555,317,247,708,424,338,304,314,10794,4163,8420,9307,5978,8582,8234,4801,3044,5073,2502,1768,2030,1972,5428,5063,5010,4975,4908,5326,5411
5.04_1512.10,,,,1512.1029,ESI (+),5.043,1338,5273,4306,5482,14460,5076,708,3532,6964,9614,6706,18413,297,9775,1043,2025,6050,6844,3586,3889,2938,2668,4338,3612,7448,4420,3038,217,5957,6262,4120,2585,3031,3437,423,1473,12542,5680,4714,5313,7861,5933,6584,5014,5700,7291,3843,6363,6017,5658,8590,7183,3547,7809,182,3.36,101,667,475,477,354,40,3.36,41,3.36,59,53,3.36,5289,5402,5286,5152,5151,5278,5681
10.90_908.86,,,,908.8584,ESI (+),10.896,9136,5642,4454,6275,6601,2412,698,582,2377,8327,1387,5830,647,4373,2124,15339,5766,2848,17019,1797,5175,4292,11872,4129,6773,4906,16751,289,8885,3829,12214,2929,3635,6158,2957,1510,4026,1944,3995,9366,3340,3073,2978,3667,7015,5795,8261,7846,4134,5462,3603,3007,5017,4447,1797,1593,645,1630,1502,1670,1638,138,119,121,37,86,86,39,5883,6448,6186,6694,6800,6105,6164
9.72_645.49,,,,645.4875,ESI (+),9.723,16804,6496,4784,6619,4177,2391,968,887,2097,10306,1761,8345,3296,5916,3999,18000,8296,3962,13816,2327,4220,2603,12123,3459,5596,4681,16046,332,6511,3022,14039,2824,2625,5927,1671,1205,3771,1976,2807,7454,2698,2494,2212,2492,7682,3937,5340,7684,2981,3973,4715,2437,3994,5999,258,201,216,333,216,88,137,155,116,115,41,41,92,55,5102,5560,5261,5256,5294,5262,6157
9.74_575.50,,,,575.5034,ESI (+),9.743,14760,4871,3633,5951,4901,1831,936,599,1825,12623,1118,7340,718,4193,2439,23404,5579,1861,18648,1222,4035,2402,14448,3033,5550,4149,26872,294,8112,2079,14596,2206,2156,6068,1810,821,2361,1000,2126,9266,1707,1492,1366,2410,9174,3621,6804,8461,2190,3761,3230,1574,3781,5207,417,245,238,330,418,255,335,4.61,57,128,134,89,4.61,83,5562,5198,5487,5442,5594,5514,5298
9.59_623.50,,,,623.5032,ESI (+),9.592,9491,8754,4256,6627,3799,1942,854,835,2316,14023,1591,9558,4268,4886,6079,14891,6664,3774,14820,1351,4429,2137,13356,2331,4777,4531,26907,358,5926,1932,9193,1922,1918,4816,1279,835,4447,1343,2812,10903,2373,1779,1927,3368,8740,3756,7033,8953,2330,3945,4137,1797,3632,5683,200,78,147,82,148,76,165,11,94,74,92,1.1,1.1,1.1,5376,5239,5326,5401,5543,5504,5617
5.17_771.57,,,,771.5712,ESI (+),5.173,5878,4322,4649,4313,9763,6463,1681,3791,4848,4647,6033,6348,760,7630,1444,1664,6097,4135,9009,6436,6001,5211,4082,7368,8605,5993,3909,561,7750,7983,4578,4236,2284,4079,2060,3199,7955,5169,6759,6655,9092,6309,6187,5659,6125,8513,5658,5182,7233,4817,5855,1183,4236,5983,5173,3747,1289,4306,4061,4060,4618,143,134,120,122,61,47,57,5427,4746,5591,5075,5661,5541,5387
10.18_959.68,,,,959.6829,ESI (+),10.182,12205,6446,5184,7540,6229,2945,1169,954,2848,9539,1667,7277,1428,5419,3410,13086,6824,3279,12102,2277,5608,3671,10981,4042,6692,5580,14070,318,9024,4083,10222,4050,2957,7645,2849,1606,3287,1602,3352,8992,2660,2468,2122,3422,7637,4933,6433,7709,3974,4958,4353,2874,5435,4939,876,594,351,600,525,747,733,109,45,61,46,114,35,61,6740,6369,6772,6439,6703,7062,6366
11.66_980.87,,,,980.8655,ESI (+),11.658,17870,6700,8694,5539,3824,2887,1544,878,2126,15718,2424,7825,3950,7903,6577,14492,9623,5130,9629,1342,4815,3389,10741,3620,5542,5479,5388,397,6676,2262,13818,3223,3692,7174,2360,1436,2657,1386,2408,5513,2150,1997,2098,2643,8896,3614,6548,7410,3410,4434,5019,1830,4984,4690,318,209,146,184,281,259,332,3.54,3.54,51,39,70,3.54,35,5787,5409,5403,6807,6709,6146,5994
6.14_820.52,,,,820.5242,ESI (+),6.141,3241,4048,4982,4513,4641,3677,1835,3221,4580,6348,5142,6125,1777,7578,2967,3653,7453,9334,4877,5224,4598,4786,5966,3986,6175,5303,5190,1619,5860,4991,5580,4798,5232,5736,3370,4128,7422,5833,6433,5324,6830,5688,6281,5213,6255,5986,4708,6258,6437,7134,8178,6083,6787,6954,2724,2116,1238,1972,1837,2088,2165,1329,417,166,174,150,182,47,6318,5619,5451,5377,5209,5332,5718
9.20_1017.77,,,,1017.7726,ESI (+),9.198,4842,10459,6722,6732,3677,2751,1275,2942,3801,24755,3466,15337,18298,6048,22533,16286,10764,7613,8263,1496,3551,1744,6644,2038,3633,3640,13139,740,3883,2553,5297,1499,1115,2782,860,852,3789,1341,2299,6162,1729,1529,2616,1975,5655,2296,4515,5889,1513,2278,3057,1628,2394,3586,48,39,3.86,3.86,3.86,50,67,95,3.86,79,3.86,3.86,84,63,5460,5364,5297,5497,5385,5367,4225
1.68_722.51,,,,722.5053,ESI (+),1.676,1542,3440,4127,1168,2718,1436,929,2174,3481,2213,2980,3224,2744,1186,1921,1906,1204,1621,1308,1304,1405,1417,1050,1304,2054,1581,2272,8077,7486,17263,15007,10559,6905,8635,7368,7212,10013,8144,7480,4398,15192,9236,18127,5735,4885,7757,5934,9899,5215,3695,4480,8097,5505,10192,14585,16177,4123,10702,13758,13874,13964,2295,6201,4089,4459,2144,2112,2157,5347,4989,4800,4845,4840,5378,5445
5.72_824.54,,,,824.5402,ESI (+),5.724,2110,5083,4270,4980,5372,4580,2048,5192,4030,6236,4140,9153,994,7468,2880,3118,5194,5481,5392,4193,3058,3686,2982,3316,5630,7043,3337,1462,5926,5610,6008,3961,3664,3847,2187,3760,8616,5471,6895,6348,7516,5960,5715,5928,6025,7043,5610,5600,9154,7518,10789,8309,5598,10048,3263,2941,1516,2556,3231,3047,3276,284,111,105,207,105,126,98,5077,5285,5072,5127,5476,6227,6281
10.31_861.77,,,,861.7653,ESI (+),10.312,11661,4408,4222,6383,5277,2118,1424,1109,2710,8686,1859,6396,748,4474,2674,18944,5303,2589,14518,1941,4061,3351,12093,3435,5713,4364,17720,301,7317,3934,13179,2744,2781,6389,3129,1748,4297,3172,3958,8456,3003,3363,3074,3754,8684,5670,7670,7279,3271,5132,3511,2391,4223,4577,2428,2016,1438,2410,2302,2602,2515,146,4.29,54,4.29,73,4.29,4.29,5773,5758,5257,5611,6033,5830,5571
5.69_824.53,,,,824.5338,ESI (+),5.692,2110,5083,4270,4980,5372,4580,2048,5192,4030,6236,4140,9153,994,7468,2880,3118,5194,5481,5392,4193,3058,3686,2845,3316,5630,7043,3337,1462,5926,5610,6008,3961,3664,3847,2076,3576,8616,5471,6895,6348,7516,5960,5715,5928,6025,7043,5610,5600,9154,7518,10789,8309,5598,10048,3263,2941,1516,2556,3231,3047,3192,321,81,124,118,146,55,40,5077,5285,5072,5127,5476,6227,6281
9.95_1015.85,,,,1015.8496,ESI (+),9.952,6916,8933,4508,5982,4371,2607,760,1168,2652,11640,1681,10069,5721,6166,6640,11982,7053,5649,11433,1838,5337,2631,11073,2632,5802,5574,17335,363,6870,2850,8672,2702,1774,4494,1405,901,4170,1834,2972,10275,2604,2344,2964,4049,8844,4397,7269,9841,2968,4611,5063,2356,4631,5692,138,319,110,308,182,212,180,71,91,37,75,3.55,3.55,36,6040,5738,6130,5974,6334,6402,4136
8.68_863.70,,,,863.6962,ESI (+),8.683,11342,5564,3253,6393,8290,2203,1068,948,3699,12560,1332,12458,610,4929,2497,15941,4990,2274,15523,1064,4400,2384,11330,2872,5386,4733,26639,496,7316,1483,11326,2738,1951,4708,1561,1027,3469,1080,2899,11447,2013,1670,1458,4771,8450,3806,7169,9636,2286,3051,3491,1505,3918,5487,130,91,3.4,3.4,118,39,140,101,84,93,101,34,54,38,5783,5445,5502,5249,5662,5856,5885
11.57_1032.90,,,,1032.8953,ESI (+),11.575,13930,2525,11558,7160,4909,2594,1671,1065,2534,25774,3024,3822,5393,9631,10834,17035,9352,6243,4101,896,1881,2576,13314,3231,4528,5185,7835,304,7326,2012,13768,2678,3793,7790,1879,976,2565,1185,2226,6391,1831,436,1614,2965,8788,3614,6718,5885,1215,4502,4232,1635,1560,4213,62,76,43,88,51,65,52,4.02,4.02,4.02,4.02,4.02,49,4.02,6956,6929,6314,7120,3036,7298,6949
5.12_884.62,,,,884.6152,ESI (+),5.117,1000,2740,2273,2246,5913,1923,699,1960,2095,3282,2319,7261,377,3727,1439,1034,3681,4472,7102,9138,8832,5692,6885,4696,7254,9131,5919,836,8331,10133,5687,4770,4173,4774,1646,3370,7764,6951,8590,7627,8722,7612,6568,6663,7621,7137,7252,7773,8957,3825,5155,6062,5268,7895,1013,1028,179,294,1058,862,1267,0.87,58,9,75,145,41,66,4750,5119,5192,5270,5466,5564,6256
5.18_1552.03,,,,1552.0304,ESI (+),5.18,2541,6763,3626,6347,7322,4172,1405,4154,4148,9048,7748,12906,555,9359,2122,2718,8051,6628,2419,6356,4661,5161,4590,7302,8157,7277,2938,865,5107,4509,4578,4620,4032,3506,1398,1995,11617,6311,5904,5223,9578,6067,7615,3554,7097,7534,3029,5171,5197,3670,5584,4545,2590,4728,58,3.7,65,3.7,3.7,51,3.7,3.7,38,3.7,47,39,55,71,5362,5451,5601,5172,5424,5992,5442
9.91_1031.88,,,,1031.8827,ESI (+),9.908,11347,9832,5940,7148,4841,3419,1262,824,2650,10602,1894,9580,4956,6199,5635,14267,10424,3939,12423,2598,4692,2882,8875,3917,5635,4842,13066,210,7626,3776,10012,2644,2260,5303,1646,929,4848,1539,2964,8918,2057,2346,2823,3122,7888,3855,5842,7625,2664,3637,3772,2007,4193,5232,133,93,46,143,99,64,227,3.44,3.44,50,45,3.44,3.44,3.44,5900,6241,6119,6442,6550,6159,5273
11.97_1071.01,,,,1071.0055,ESI (+),11.972,12221,5245,7002,8006,5464,2079,1646,756,2573,19473,2636,8006,1214,7244,5552,14017,8275,4595,10046,1629,4708,2899,9470,3127,3821,4645,5079,238,7644,3650,11398,2844,4313,7121,2411,1225,3453,1602,3291,6815,2621,2901,2627,3272,8981,5275,6882,5951,3071,6358,4393,2299,6580,4134,2041,1876,1013,2056,2223,2175,2058,44,61,3.67,81,70,75,41,6184,6277,6602,7068,7499,7057,6770
6.66_821.65,,,,821.6457,ESI (+),6.655,4310,5766,3949,2787,5437,7890,707,2065,7413,3444,9147,9903,1686,8788,2560,3973,12503,11537,4782,5839,4331,8306,4132,7197,11353,4316,3742,1.73,12494,6516,7091,5896,8156,5824,1894,4115,3578,1038,1839,3189,3792,3545,3260,276,3002,5186,2563,4496,5531,5500,6262,8963,7081,3423,109,1.73,56,1.73,1.73,113,1.73,1.73,90,126,1.73,1.73,1.73,59,5979,4472,5055,5682,4651,5926,4922
8.21_650.65,,,,650.6457,ESI (+),8.213,3535,12165,10053,9337,5826,5211,4630,3897,2943,12701,4956,10485,1431,7133,4551,5093,1734,4359,4599,4159,2629,3500,3048,4829,4956,8954,2159,2340,1754,2266,4365,3966,1532,3661,1900,2973,4057,4146,2898,5068,3867,3947,2824,4575,6092,5355,3291,4766,13106,10832,12533,8117,4514,8748,1569,1290,780,1381,1276,1259,1439,98,172,154,182,190,236,200,5330,4975,5260,5090,5377,5651,5683
1.46_282.28,,,,282.2791,ESI (+),1.457,2075,3103,4857,2858,3626,4346,1523,3269,5612,5227,10207,5934,1564,5326,2972,3559,5772,7648,7322,7951,7380,9044,7108,11250,7083,5729,5036,2114,8920,8802,7376,5531,5887,6620,4785,6930,6999,4848,4217,4457,4579,4405,5302,2810,4463,4300,3697,4873,2863,2441,3704,3569,4213,5931,2028,1232,799,1237,1138,1402,1345,499,498,421,476,411,497,341,5918,4873,5678,5222,4667,4808,5391
